ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Metal,0.0,-9.833,102.237,48.915,214.292,3.492,2.96,2.927,2.925,3.343,5.398e-05,Hf1,mp-100
Insulator,1.145,-4.146,31.115,13.757,143.011,6.587,3.093,5.921,2.964,2.967,5.145e-05,Ba1Te1,mp-1000
Metal,0.0,-8.938,126.316,65.878,273.329,16.969,2.905,16.867,2.864,3.157,5.201e-05,Hf4S2,mp-10000
Metal,0.0,-2.557,21.412,8.719,194.336,23.982,3.057,23.124,2.93,3.158,6.257e-05,Ca7Ge1,mp-10008
Metal,0.0,-4.072,36.026,15.835,213.773,5.917,3.024,5.827,2.923,2.828,6.072e-05,Sn1S1,mp-10013
Metal,0.0,-7.001,280.187,119.447,394.051,5.644,2.798,5.529,2.762,3.07,5.209e-05,Si1Os1,mp-10015
Metal,0.0,-9.613,236.988,150.198,435.797,5.527,2.719,5.413,2.724,2.827,6.261e-05,Hf1C1,mp-1001918
Metal,0.0,-6.901,155.727,39.454,209.24,6.026,2.965,5.871,2.923,3.094,5.329e-05,Hf1Pd1,mp-1002106
Metal,0.0,-9.705,170.303,58.093,273.777,5.689,2.837,5.691,2.815,2.852,6.262e-05,Hf1C1,mp-1002124
Insulator,1.508,-5.891,161.264,129.11,598.105,5.128,2.534,4.836,2.457,2.963,7.289e-05,Ge1C1,mp-1002164
Metal,0.0,-5.858,178.49,127.602,595.509,5.02,2.514,4.747,2.444,2.906,7.391e-05,Ge1C1,mp-1002165
Metal,0.0,-6.968,246.525,194.982,1081.649,3.251,1.654,3.184,1.619,3.126,7.536e-05,Si1C1,mp-1002206
Metal,0.0,-4.387,243.447,33.297,208.323,5.951,2.981,5.708,2.945,2.927,6.429e-05,Pt1C1,mp-1002228
Metal,0.0,-6.164,248.757,115.571,489.491,33.079,2.673,31.986,2.625,2.725,5.992e-05,Si4Ru8,mp-10025
Metal,0.0,-6.787,330.918,107.981,417.137,5.42,2.757,5.51,2.703,3.165,7.105e-05,Ru1C1,mp-10030
Metal,0.0,-5.75,159.266,73.359,346.223,16.874,2.866,16.536,2.792,2.965,5.366e-05,Ge4Os2,mp-10032
Insulator,3.834,-7.221,237.55,185.206,1147.301,6.19,1.648,6.259,1.631,3.411,6.123e-05,Si1O2,mp-10064
Insulator,2.217,-6.068,66.599,33.592,315.947,8.735,2.961,8.237,2.825,3.253,5.186e-05,Ba1O2,mp-1006878
Insulator,1.296,-4.015,35.764,12.244,226.434,17.242,3.033,16.406,2.887,2.282,5.479e-05,Ge2Se4,mp-10074
Metal,0.0,-5.427,161.992,65.106,302.62,28.282,2.921,26.713,2.869,3.03,5.341e-05,Hf3Ni4Ge4,mp-10076
Metal,0.0,-5.182,171.947,67.387,280.899,11.684,2.931,11.494,2.871,2.985,5.254e-05,Hf1Pd3,mp-1007656
Metal,0.0,-7.796,176.7,49.711,214.176,11.683,2.961,11.631,2.925,3.167,5.365e-05,Hf2Pt2,mp-1007691
Metal,0.0,-6.921,156.429,47.775,234.603,11.714,2.949,11.641,2.913,3.092,5.329e-05,Hf2Pd2,mp-1007692
Metal,0.0,-8.616,274.423,110.727,308.805,11.385,2.881,11.355,2.843,2.807,5.327e-05,Hf1Os3,mp-1007693
Metal,0.0,-4.376,58.992,42.352,312.329,11.736,2.989,11.268,2.851,3.097,6.246e-05,Ge4,mp-1007760
Metal,0.0,-2.774,160.812,49.263,360.935,12.217,2.844,11.687,2.784,3.024,6.284e-05,Fe1Ni3,mp-1007855
Metal,0.0,-2.985,173.823,56.622,349.88,11.962,2.937,11.532,2.801,3.269,6.274e-05,Cr1Ni3,mp-1007974
Insulator,2.31,-4.393,33.696,11.509,191.489,5.931,3.046,5.832,2.928,3.17,6.032e-05,Ca1Se1,mp-1008223
Metal,0.0,-4.31,140.264,62.715,359.68,11.717,2.96,11.518,2.801,2.777,7.031e-05,Cr3Ni1,mp-1008275
Metal,0.0,-4.337,138.561,65.126,360.09,11.603,2.963,11.364,2.794,2.791,7.027e-05,Cr3Ni1,mp-1008278
Metal,0.0,-4.59,172.978,91.008,453.721,11.248,2.781,11.059,2.678,2.651,7.028e-05,Cr3Fe1,mp-1008282
Metal,0.0,-1.37,13.395,6.062,110.312,6.792,3.104,6.226,2.967,3.4,5.261e-05,Ba2,mp-1008283
Metal,0.0,-4.65,170.712,94.069,461.752,11.158,2.774,10.974,2.671,2.707,7.03e-05,Cr3Fe1,mp-1008285
Metal,0.0,-8.282,349.718,257.774,1762.165,3.095,0.951,3.528,0.926,3.164,8.583e-05,C4,mp-1008374
Insulator,2.509,-8.415,393.235,411.865,1931.239,2.598,0.73,2.589,0.723,3.203,8.583e-05,C4,mp-1008395
Metal,0.0,-1.75,16.267,8.329,221.811,12.013,3.019,11.321,2.892,3.745,6.26e-05,Ca4,mp-1008498
Insulator,2.425,-5.847,64.846,29.265,248.438,12.833,3.013,12.308,2.903,3.197,5.195e-05,Ba2O2,mp-1008500
Metal,0.0,-2.91,31.655,13.385,143.371,12.54,3.115,11.975,2.969,2.919,5.252e-05,Ba2Pd2,mp-1008505
Metal,0.0,-6.309,105.276,45.058,315.566,8.148,2.845,7.897,2.811,3.23,6.218e-05,Zr1Ti2,mp-1008568
Metal,0.0,-10.034,352.746,169.418,408.689,8.387,2.703,8.656,2.728,2.971,5.73e-05,W2C1,mp-1008625
Metal,0.0,-9.236,367.116,204.663,509.476,5.322,2.591,5.178,2.602,2.536,6.348e-05,W1C1,mp-1008630
Metal,0.0,-9.463,299.068,114.591,379.601,5.491,2.726,5.432,2.7,2.532,6.266e-05,W1C1,mp-1008635
Insulator,0.402,-5.378,123.164,62.597,515.405,8.616,2.664,8.472,2.599,3.051,6.119e-05,Ti1S2,mp-1008676
Insulator,1.946,-7.809,202.834,123.418,751.171,7.525,2.237,7.167,2.126,3.254,6.132e-05,Ti1O2,mp-1008677
Metal,0.0,-5.165,142.934,51.219,280.525,8.862,2.934,8.546,2.87,3.038,5.348e-05,Ti1Ge1Pt1,mp-1008680
Insulator,0.662,-5.242,117.275,50.93,481.826,8.636,2.73,8.574,2.643,3.126,6.119e-05,Ti1S2,mp-1008682
Metal,0.0,-5.533,108.877,61.764,513.546,8.912,2.679,8.224,2.629,3.644,6.043e-05,Ti2Si1,mp-1008689
Metal,0.0,-4.894,103.155,47.721,381.735,8.217,2.806,8.129,2.759,3.621,6.249e-05,Ti2Ge1,mp-1008727
Metal,0.0,-4.304,72.13,39.938,298.633,5.904,2.987,5.781,2.844,3.494,6.246e-05,Ge2,mp-1008733
Insulator,2.004,-6.591,74.517,41.301,358.659,8.297,2.785,8.147,2.725,2.824,7.301e-05,Sr1C2,mp-1008776
Metal,0.0,-6.161,237.494,118.374,577.984,7.867,2.543,7.727,2.471,3.3,6.153e-05,Ru1O2,mp-1008785
Insulator,1.074,-3.204,42.066,21.761,218.756,6.092,3.047,5.857,2.924,3.551,6.037e-05,Mg1Te1,mp-1008786
Metal,0.0,-9.72,210.802,125.166,373.921,5.49,2.767,5.423,2.755,2.84,6.262e-05,Hf1C1,mp-1008832
Metal,0.0,-8.1,354.952,188.98,559.544,7.483,2.5,7.345,2.492,2.891,6.366e-05,Os1C2,mp-1008835
Metal,0.0,-5.45,44.376,5.905,88.945,5.897,3.134,5.82,2.973,3.517,6.04e-05,Cr1Te1,mp-1008926
Metal,0.0,-4.91,74.701,46.311,469.525,34.335,2.802,33.397,2.683,3.126,6.095e-05,Sr2Si12,mp-1009
Metal,0.0,-5.501,63.706,20.117,154.976,5.902,3.112,5.795,2.953,3.473,6.04e-05,Cr1Te1,mp-1009079
Insulator,3.604,-5.755,153.607,103.933,770.879,4.241,2.185,4.15,2.109,3.638,6.179e-05,Mg1O1,mp-1009127
Insulator,3.316,-5.847,139.684,77.573,735.951,4.35,2.257,4.208,2.206,3.608,6.14e-05,Mg1O1,mp-1009129
Metal,0.0,-8.318,258.688,82.102,401.315,5.216,2.73,5.197,2.672,2.836,7.266e-05,Mo1C1,mp-1009218
Metal,0.0,-9.901,108.777,59.556,243.158,9.181,2.941,9.031,2.903,2.845,5.415e-05,Hf3,mp-1009460
Metal,0.0,-4.533,205.472,49.228,304.736,5.831,2.901,5.7,2.858,2.85,7.389e-05,Pd1C1,mp-1009533
Metal,0.0,-7.319,383.848,126.089,381.561,5.485,2.784,5.507,2.768,3.031,5.634e-05,Os1C1,mp-1009537
Metal,0.0,-4.474,172.348,42.762,279.05,5.922,2.964,5.678,2.877,3.054,7.287e-05,Pd1C1,mp-1009538
Metal,0.0,-7.622,367.005,142.861,406.131,5.533,2.707,5.472,2.727,3.056,5.613e-05,Os1C1,mp-1009539
Metal,0.0,-7.634,326.188,135.967,404.62,5.611,2.755,5.548,2.761,3.026,5.544e-05,Os1C1,mp-1009540
Metal,0.0,-4.285,47.713,16.553,161.709,6.082,3.065,5.916,2.959,2.738,5.253e-05,Pb1S1,mp-1009551
Metal,0.0,-4.664,248.98,85.71,527.604,5.182,2.615,5.152,2.525,3.081,7.523e-05,Ni1C1,mp-1009582
Metal,0.0,-4.962,241.627,58.676,271.884,5.86,2.909,5.678,2.913,2.999,6.378e-05,Pt1C1,mp-1009648
Insulator,1.81,-6.633,77.074,41.528,591.165,7.702,2.456,7.742,2.382,2.802,7.301e-05,Ca1C2,mp-1009653
Metal,0.0,-4.163,54.911,33.573,318.825,8.655,2.98,8.355,2.853,3.598,6.234e-05,Ca1Ge2,mp-1009654
Insulator,1.786,-6.659,120.756,111.477,857.802,6.984,2.028,7.013,1.972,2.906,7.41e-05,Ca1C2,mp-1009655
Metal,0.0,-3.13,25.555,13.674,209.55,8.927,3.044,8.412,2.915,3.578,6.253e-05,Ca2Sn1,mp-1009730
Insulator,0.409,-3.434,32.187,17.542,305.926,8.684,2.942,8.407,2.842,3.549,6.053e-05,Ca2Si1,mp-1009733
Metal,0.0,-3.418,28.841,18.285,276.372,8.576,2.981,8.339,2.872,3.503,6.257e-05,Ca2Ge1,mp-1009755
Metal,0.0,-3.013,24.281,13.63,174.547,9.169,3.101,8.732,2.947,3.419,5.256e-05,Ca2Pb1,mp-1009756
Metal,0.0,-6.873,311.139,69.162,309.933,5.463,2.832,5.534,2.789,3.12,7.113e-05,Ru1C1,mp-1009787
Metal,0.0,-6.782,267.972,68.16,315.884,5.544,2.849,5.598,2.793,3.195,7.03e-05,Ru1C1,mp-1009792
Metal,0.0,-4.347,52.549,29.768,283.396,5.969,2.998,5.807,2.882,3.215,6.084e-05,Si1Sn1,mp-1009813
Insulator,2.752,-5.672,103.879,55.387,391.826,5.648,2.836,5.462,2.728,3.468,6.042e-05,Sr1O1,mp-1009819
Metal,0.0,-5.195,108.443,65.393,386.722,5.706,2.86,5.472,2.77,2.877,7.289e-05,Sn1C1,mp-1009820
Metal,0.0,-5.26,133.626,84.359,416.735,5.632,2.81,5.402,2.722,2.837,7.302e-05,Sn1C1,mp-1009822
Metal,0.0,-4.347,39.641,14.11,215.079,9.129,3.082,8.765,2.921,3.523,5.237e-05,Ba1Si2,mp-1009827
Metal,0.0,-8.771,220.865,141.863,615.08,5.143,2.509,5.005,2.525,3.185,7.014e-05,Zr1C1,mp-1009878
Metal,0.0,-8.894,150.076,57.49,371.525,5.377,2.744,5.415,2.714,3.238,7.001e-05,Zr1C1,mp-1009894
Metal,0.0,-2.011,104.554,49.717,415.523,6.286,2.839,5.578,2.735,4.049,6.194e-05,Mg1Ni1,mp-1010953
Metal,0.0,-3.543,114.976,51.398,372.929,8.344,2.851,8.343,2.778,3.353,6.264e-05,Ti2Zn1,mp-1014229
Metal,0.0,-6.75,108.193,42.374,212.942,8.627,2.981,8.651,2.926,3.185,5.372e-05,Hf2Zn1,mp-1014231
Insulator,2.337,-6.416,149.913,88.548,529.779,13.139,2.69,12.614,2.589,3.242,6.034e-05,Sr1Ge1O3,mp-1016999
Metal,0.0,-8.852,129.27,57.58,339.311,22.2,2.847,22.242,2.793,3.064,5.981e-05,Zr6O2,mp-1017
Insulator,3.883,-7.186,166.199,107.121,624.326,12.127,2.453,11.652,2.414,3.298,6.109e-05,Sr1Si1O3,mp-1017439
