Band gap,Band gap-units,Band gap-conditions,Band gap-methods,Band gap-dataType,Band gap energy (E$_g^{expt}$),Band gap energy (E$_g^{expt}$)-units,Band gap energy (E$_g^{expt}$)-dataType,Band gap energy (E$_g^{GW}$),Band gap energy (E$_g^{GW}$)-units,Band gap energy (E$_g^{GW}$)-methods,Band gap energy (E$_g^{DFT+U}$),Band gap energy (E$_g^{DFT+U}$)-units,Band gap energy (E$_g^{DFT+U}$)-methods,chemicalFormula,references,Crystallinity,Structure,Crystal structure
0.153,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Bi2Te3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.567,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Mg2Ge1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.045,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Co1Si1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
7.025,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Na1Br1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.9,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Ca2Sn1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.57,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '90'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,As2S3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.35,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Zn1O1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.23,eV,"{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Cu2Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.7,eV,"{'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ge1Te1,[{'doi': '10.1063/1.3253115'}],Amorphous,,
10,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ca1F2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.1,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Dy1N1,[{'doi': '10.1063/1.3253115'}],,,
1.15,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sb2Se3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.404,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",{'name': 'Magnetoabsorption'},EXPERIMENTAL,,,,,,,,,,In1As1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.2,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Photoconduction'},EXPERIMENTAL,,,,,,,,,,Cd1I2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.32,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,La2S3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.82,eV,,{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Mg3Sb2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.15,eV,"{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cu2Te1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.19,eV,"{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Pb1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.465,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cd1Sb1,[{'doi': '10.1063/1.3253115'}],,,
6.1,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ca1O1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,As2S3,[{'doi': '10.1063/1.3253115'}],Amorphous,,
0.57,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",,EXPERIMENTAL,,,,,,,,,,Mg2Ge1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
6.0,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ca1S1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Eu3As2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.676,eV,"{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ag1Br1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.35,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Zn1Te1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.25,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Zr1Se3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.015,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Cr3Se4,[{'doi': '10.1063/1.3253115'}],,,
0.7,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Hg1S1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.68,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Cr2O3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.69,eV,"{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ge1Se2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ge1As2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
4.1,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,La1B6,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
7.77,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Mg1O1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.8,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,As2S3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.585,eV,"{'name': 'Temperature', 'scalars': [{'value': '78'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cd1Sb1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.32,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,As2S3,[{'doi': '10.1063/1.3253115'}],Amorphous,,
