prototype,spacegroup_orig,spacegroup_relax,Egap,Egap_fit,compound
"Ge1S2_ICSD_44
",7,7,2.229,3.91769,Ge12S24
"Ga1S1_ICSD_654685
",194,194,1.623,3.1008,Ga4S4
"Ga1S1_ICSD_53586
",194,194,1.7769,3.30826,Ga4S4
"Ga1S1_ICSD_635244
",194,194,1.6813,3.17939,Ga4S4
"Ga1S1_ICSD_173941
",194,194,1.71,3.21808,Ga4S4
"Ga1S1_ICSD_53590
",194,194,1.8238,3.37148,Ga4S4
"Ga1S1_ICSD_59
",194,194,1.7055,3.21201,Ga4S4
"Ga1S1_ICSD_635251
",194,194,1.6732,3.16847,Ga4S4
"Ga1S1_ICSD_173940
",194,194,1.6755,3.17157,Ga4S4
"Ga1S1_ICSD_167394
",194,194,1.5988,3.06818,Ga4S4
"Ga1S1_ICSD_53587
",194,194,1.6565,3.14596,Ga4S4
"Ga1S1_ICSD_658768
",194,194,1.6656,3.15823,Ga4S4
"Ga1S1_ICSD_635254
",194,194,1.7785,3.31042,Ga4S4
"Ga1S1_ICSD_25660
",194,194,1.6448,3.13019,Ga4S4
"Ga1S1_ICSD_53588
",194,194,1.8344,3.38577,Ga4S4
"Ga1S1_ICSD_53589
",194,194,1.8061,3.34762,Ga4S4
"Ga1S1_ICSD_201345
",194,194,1.71,3.21808,Ga4S4
"Ga1S1_ICSD_201344
",194,194,1.6755,3.17157,Ga4S4
"Mg1P4_ICSD_42030
",14,14,0.6907,1.84406,Mg2P8
"Mg1P4_ICSD_113
",14,14,0.6819,1.8322,Mg2P8
"Mg1P4_ICSD_23555
",14,14,0.6833,1.83409,Mg2P8
"Ba1Ni1O3_ICSD_175
",194,194,1.4486,2.86571,Ba2Ni2O6
"Ba1Ni1O3_ICSD_30661
",194,194,1.4432,2.85843,Ba2Ni2O6
"Ba1Ni1O3_ICSD_15761
",186,186,1.4566,2.8765,Ba2Ni2O6
"Fe1I3O9_ICSD_286
",173,173,2.4042,4.15386,Fe2I6O18
"Fe1I3O9_ICSD_154674
",173,173,2.3775,4.11787,Fe2I6O18
"Ca2H1N1_ICSD_292
",227,227,1.6384,3.12156,Ca8H4N4
"Cd1N2O6_ICSD_297
",29,29,3.451,5.56495,Cd8N16O48
"Fe1S2_ICSD_316
",205,205,2.0171,3.63205,Fe4S8
"Fe1S2_ICSD_633254
",205,205,2.0187,3.63421,Fe4S8
"Fe1S2_ICSD_633293
",205,205,2.017,3.63192,Fe4S8
"Fe1S2_ICSD_633287
",205,205,2.0338,3.65456,Fe4S8
"Fe1S2_ICSD_41401
",29,205,2.0245,3.64203,Fe4S8
"Fe1S2_ICSD_43716
",205,205,2.0211,3.63744,Fe4S8
"Fe1S2_ICSD_633289
",205,205,2.0113,3.62423,Fe4S8
"Fe1S2_ICSD_10422
",1,205,2.029,3.64809,Fe4S8
"Fe1S2_ICSD_656511
",205,205,2.0165,3.63124,Fe4S8
"Fe1S2_ICSD_53529
",205,205,2.0174,3.63246,Fe4S8
"Fe1S2_ICSD_15012
",205,205,2.0196,3.63542,Fe4S8
"Fe1S2_ICSD_633273
",205,205,2.0217,3.63825,Fe4S8
"Fe1S2_ICSD_633270
",205,205,2.0169,3.63178,Fe4S8
"Fe1S2_ICSD_633288
",205,205,2.0322,3.65241,Fe4S8
"Fe1S2_ICSD_53935
",205,205,2.019,3.63461,Fe4S8
"Fe1S2_ICSD_41995
",205,205,2.0284,3.64728,Fe4S8
"Fe1S2_ICSD_52372
",205,205,2.0176,3.63272,Fe4S8
"Fe1S2_ICSD_109377
",205,205,2.0173,3.63232,Fe4S8
"Fe1S2_ICSD_633274
",205,205,2.0165,3.63124,Fe4S8
"Fe2Ge1S4_ICSD_23526
",62,62,1.4034,2.80478,Fe8Ge4S16
"La1P5_ICSD_357
",11,11,0.0977,1.0447,La4P20
"As4S4_ICSD_360
",2,2,0.1705,1.14283,As16S16
"As4S4_ICSD_153279
",14,14,2.3827,4.12488,As16S16
"As4S4_ICSD_185033
",14,14,1.055,2.33514,As16S16
"As4S4_ICSD_185766
",14,14,2.3715,4.10978,As16S16
"As4S4_ICSD_185786
",14,14,2.3576,4.09104,As16S16
"As4S4_ICSD_80125
",14,14,2.0643,3.69568,As16S16
"As4S4_ICSD_185771
",14,14,2.3335,4.05856,As16S16
"As4S4_ICSD_185782
",14,14,2.3952,4.14173,As16S16
"As4S4_ICSD_185767
",14,14,2.3524,4.08404,As16S16
"As4S4_ICSD_185038
",14,14,0.9746,2.22676,As16S16
"As4S4_ICSD_185037
",14,14,0.996,2.25561,As16S16
"As4S4_ICSD_185780
",14,14,2.3445,4.07339,As16S16
"As4S4_ICSD_185770
",14,14,2.3786,4.11935,As16S16
"As4S4_ICSD_185783
",14,14,2.3951,4.14159,As16S16
"As1S1_ICSD_180621
",14,14,1.952,3.5443,As16S16
"As4S4_ICSD_173406
",14,14,2.1014,3.74569,As16S16
"As4S4_ICSD_185039
",14,14,0.1811,1.15712,As16S16
"As4S4_ICSD_185035
",14,14,0.0,0.0,As16S16
"As4S4_ICSD_153278
",14,14,2.3726,4.11126,As16S16
"As4S4_ICSD_173405
",14,14,2.1115,3.7593,As16S16
"As4S4_ICSD_185774
",14,14,2.3802,4.12151,As16S16
"As4S4_ICSD_153281
",14,14,2.3554,4.08808,As16S16
"As4S4_ICSD_185032
",14,14,2.3811,4.12272,As16S16
"As4S4_ICSD_185781
",14,14,2.3696,4.10722,As16S16
"As4S4_ICSD_185772
",14,14,2.3709,4.10897,As16S16
"As4S4_ICSD_185778
",14,14,2.38,4.12124,As16S16
"As4S4_ICSD_185776
",14,14,2.3743,4.11356,As16S16
"As4S4_ICSD_185777
",14,14,2.3715,4.10978,As16S16
"As4S4_ICSD_185773
",14,14,2.3974,4.1447,As16S16
"As4S4_ICSD_185765
",14,14,2.3895,4.13405,As16S16
"As4S4_ICSD_185768
",14,14,2.3902,4.13499,As16S16
"As4S4_ICSD_153277
",14,14,2.3931,4.1389,As16S16
"As4S4_ICSD_185769
",14,14,2.3869,4.13054,As16S16
"As1S1_ICSD_15238
",14,14,2.3932,4.13903,As16S16
"As4S4_ICSD_185775
",14,14,2.3644,4.10021,As16S16
"As4S4_ICSD_153280
",14,14,2.4016,4.15036,As16S16
"As4S4_ICSD_185779
",14,14,2.3889,4.13324,As16S16
"As4S4_ICSD_185036
",14,14,0.0,0.0,As16S16
"As4S4_ICSD_185788
",14,14,2.4063,4.15669,As16S16
"As4S4_ICSD_185784
",14,14,2.3432,4.07163,As16S16
"As4S4_ICSD_173404
",14,14,2.1934,3.8697,As16S16
"Ba1Ga2Ge2O8_ICSD_1445
",15,15,2.9339,4.8679,Ba4Ga8Ge8O32
"Ba1Ga2Ge2O8_ICSD_616
",15,15,2.9479,4.88677,Ba4Ga8Ge8O32
"Ag1N1O3_ICSD_374
",161,161,2.3493,4.07986,Ag2N2O6
"K1N1O3_ICSD_260602
",160,160,2.9795,4.92937,K1N1O3
"K1N1O3_ICSD_384
",160,160,2.9775,4.92667,K1N1O3
"K1N1O3_ICSD_260601
",160,160,2.9665,4.91184,K1N1O3
"K1N1O3_ICSD_71398
",160,160,2.9809,4.93125,K1N1O3
"Dy2Se3_ICSD_630257
",62,62,0.3625,1.40165,Dy8Se12
"Dy2Se3_ICSD_419
",62,62,0.3643,1.40408,Dy8Se12
"Dy2Se3_ICSD_630253
",62,62,0.3619,1.40084,Dy8Se12
"Li1Nb1O2_ICSD_42008
",194,194,1.6666,3.15958,Li2Nb2O4
"Li1Nb1O2_ICSD_451
",194,194,1.6543,3.143,Li2Nb2O4
"Li1Nb1O2_ICSD_75880
",194,194,1.6611,3.15216,Li2Nb2O4
"Li1Nb1O2_ICSD_73110
",194,194,1.6577,3.14758,Li2Nb2O4
"Li1Nb1O2_ICSD_73109
",194,194,1.6575,3.14731,Li2Nb2O4
"Li1Nb1O2_ICSD_300243
",194,194,1.6572,3.14691,Li2Nb2O4
"Ga2S3_ICSD_488
",9,9,1.9808,3.58312,Ga4S6
"Ga2S3_ICSD_34647
",9,9,1.7363,3.25353,Ga4S6
"Ga2S3_ICSD_635243
",9,9,1.7241,3.23709,Ga4S6
"Ga2S3_ICSD_409550
",9,9,1.7458,3.26634,Ga4S6
"In2Te5_ICSD_640615
",9,9,0.84,2.04532,In4Te10
"In2Te5_ICSD_501
",9,9,0.8397,2.04492,In4Te10
"Ge1Se2_ICSD_637861
",14,14,1.3927,2.79036,Ge16Se32
"Ge1Se2_ICSD_614
",14,14,1.4085,2.81166,Ge16Se32
"Ge1Se2_ICSD_637856
",14,14,1.4079,2.81085,Ge16Se32
"Ba1Ga2Ge2O8_ICSD_1445
",15,15,2.9339,4.8679,Ba4Ga8Ge8O32
"Ba1Ga2Ge2O8_ICSD_616
",15,15,2.9479,4.88677,Ba4Ga8Ge8O32
"Ge1Pt1Se1_ICSD_637651
",29,29,0.5377,1.63782,Ge4Pt4Se4
"Ge1Pt1Se1_ICSD_2595
",29,29,0.5409,1.64213,Ge4Pt4Se4
"Ge1Pt1Se1_ICSD_822
",29,29,0.5485,1.65238,Ge4Pt4Se4
"Ag1C2N3_ICSD_843
",152,152,3.8029,6.03931,Ag3C6N9
"Li1Te3_ICSD_935
",165,165,0.1547,1.12154,Li12Te36
