ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,1.793,-5.589,62.771,28.114,309.795,48.781,2.943,48.147,2.862,2.637,6.054e-05,Y4Cu4S8,mp-10533
Insulator,0.828,-8.053,39.532,20.736,248.848,143.353,3.02,141.334,2.891,2.188,5.216e-05,Sm20S38,mp-10534
Insulator,3.477,-6.022,87.222,51.869,543.469,145.489,2.558,137.151,2.536,2.747,5.902e-05,Na16Co8P8O32F8,mp-10537
Insulator,2.417,-5.014,61.217,33.811,360.512,43.381,2.955,40.321,2.752,2.781,6.051e-05,K6Sb2O8,mp-10543
Insulator,1.765,-3.4,31.94,10.384,150.427,38.32,3.185,35.997,2.973,2.797,5.112e-05,Rb4Au4O4,mp-10547
Insulator,1.775,-4.979,90.255,57.202,440.992,13.621,2.739,13.22,2.675,3.578,6.076e-05,Sr1Mg2N2,mp-10550
Insulator,1.71,-4.178,17.532,18.239,225.041,59.755,3.033,56.098,2.878,2.522,5.48e-05,Rb4B4Se12,mp-10552
Insulator,4.658,-7.984,54.442,27.02,713.112,46.358,2.236,40.543,2.194,2.485,6.943e-05,Mg2C8N12,mp-10553
Insulator,1.692,-6.889,86.756,53.689,344.195,43.886,2.892,42.206,2.743,2.567,5.256e-05,Ba4Li2Re2N8,mp-10555
Insulator,1.77,-6.837,111.547,84.015,440.706,40.802,2.769,39.684,2.628,2.6,5.255e-05,Sr4Li2Re2N8,mp-10556
Insulator,1.916,-9.594,142.915,58.618,342.468,29.708,2.902,29.757,2.823,2.72,5.187e-05,Gd3Au1O6,mp-10559
Insulator,1.383,-6.839,131.841,49.027,310.052,30.675,2.949,29.949,2.852,2.731,5.171e-05,Sm3Au1O6,mp-10560
Insulator,4.217,-6.387,114.732,66.736,686.143,22.018,2.353,21.236,2.322,3.023,6.438e-05,Na2P2N4,mp-10572
Insulator,1.281,-6.747,81.847,44.758,353.197,111.972,2.836,108.258,2.802,2.806,6.02e-05,Sr20Nb4N20,mp-10577
Insulator,0.937,-3.682,35.928,27.452,283.081,9.555,3.018,9.248,2.849,3.576,6.572e-05,Sr1Li1P1,mp-10614
Insulator,0.907,-3.785,31.447,17.383,240.531,9.593,3.068,9.126,2.914,3.788,5.656e-05,Ba1Li1P1,mp-10615
Insulator,0.816,-3.697,30.465,13.794,189.151,9.738,3.096,9.182,2.954,3.673,5.657e-05,Ba1Li1As1,mp-10616
Insulator,1.139,-3.657,36.637,12.944,220.91,12.901,3.134,11.942,2.944,2.949,6.028e-05,Li1In1Se2,mp-10618
Insulator,2.546,-6.946,96.504,59.487,375.494,44.026,2.862,43.017,2.695,2.681,5.653e-05,Li4Pr4O8,mp-10620
Insulator,1.75,-3.975,16.492,7.214,194.52,48.935,3.093,46.046,2.941,2.399,6.057e-05,Rb4Sb4S8,mp-10621
Metal,0.0,-5.607,105.328,28.102,155.734,8.792,3.037,8.937,2.961,2.888,5.2e-05,Th1Sb1Rh1,mp-10623
Insulator,1.856,-4.875,55.151,24.819,261.823,5.909,2.992,5.756,2.875,3.264,6.044e-05,Sr1S1,mp-10627
Metal,0.0,-4.346,44.208,10.156,147.761,23.811,3.104,22.388,2.98,2.822,5.217e-05,Ta1Tl3Se4,mp-10644
Metal,0.0,-3.887,33.204,16.634,161.498,12.159,3.114,11.817,2.968,2.818,5.2e-05,Yb2Se2,mp-10648
Insulator,0.697,-4.066,33.877,13.973,158.548,6.074,3.078,5.889,2.957,3.199,5.993e-05,Sr1Te1,mp-10653
Insulator,3.381,-5.869,31.938,18.556,391.504,28.343,2.927,27.853,2.679,2.765,6.006e-05,K4C2O6,mp-10662
Insulator,1.277,-4.666,37.167,17.205,178.712,6.043,3.074,5.874,2.945,2.87,5.183e-05,Ba1Se1,mp-10680
Insulator,6.53,-6.495,51.277,23.311,453.857,10.466,2.817,9.924,2.685,4.272,6.5e-05,Sc1F3,mp-10694
Insulator,2.689,-3.177,63.827,27.228,312.488,5.808,2.972,5.441,2.86,3.081,6.088e-05,Zn1S1,mp-10695
Insulator,1.954,-6.685,102.809,51.709,327.959,28.332,2.946,29.13,2.83,2.673,5.176e-05,Ba2Pr1Sb1O6,mp-10731
Insulator,0.241,-9.363,220.352,123.129,411.74,13.849,2.768,13.469,2.723,2.705,5.572e-05,Th1Ta1N3,mp-10732
Insulator,2.037,-4.786,48.529,25.151,320.187,22.466,2.92,22.352,2.834,2.624,5.209e-05,Ta1Cu3S4,mp-10748
Metal,0.0,-4.007,58.762,29.607,265.405,5.818,3.024,5.564,2.901,2.853,6.058e-05,Ge1Se1,mp-10759
Insulator,2.139,-3.688,58.118,29.002,310.822,5.777,2.994,5.491,2.858,3.426,6.089e-05,Mg1Se1,mp-10760
Insulator,2.185,-5.729,50.589,24.143,277.264,143.331,2.925,140.896,2.861,2.442,5.247e-05,Dy16Si12S48,mp-10771
Insulator,1.381,-6.801,138.701,69.248,455.452,62.195,2.742,62.844,2.678,2.777,5.196e-05,Ce4As4O16,mp-10772
Insulator,0.982,-4.111,24.356,9.478,265.233,30.055,3.029,29.372,2.894,2.509,6.065e-05,K2Sn1As2S6,mp-10776
Insulator,1.696,-4.909,25.03,6.155,152.703,12.457,3.121,11.941,2.965,2.862,5.172e-05,Rb1Pr1Se2,mp-10778
Insulator,1.691,-5.206,25.559,6.334,152.317,12.442,3.105,11.915,2.966,2.858,5.173e-05,Rb1Nd1Se2,mp-10779
Insulator,0.711,-5.741,21.59,4.503,142.69,12.465,3.173,11.889,2.974,2.955,5.173e-05,Rb1Sm1Se2,mp-10780
Insulator,1.756,-6.698,27.248,7.996,152.755,12.447,3.097,11.864,2.962,2.827,5.182e-05,Rb1Gd1Se2,mp-10781
Insulator,1.824,-4.927,26.66,7.324,152.747,12.47,3.097,11.894,2.964,2.842,5.175e-05,Rb1Tb1Se2,mp-10782
Insulator,1.918,-4.877,28.181,6.424,153.054,12.409,3.101,11.864,2.968,2.749,5.18e-05,Rb1Ho1Se2,mp-10783
Insulator,1.893,-4.773,26.121,5.802,150.104,12.459,3.105,11.844,2.971,2.78,5.18e-05,Rb1Er1Se2,mp-10784
Insulator,1.786,-4.886,32.546,8.179,156.603,12.309,3.074,11.936,2.957,2.718,5.179e-05,Rb1Lu1Se2,mp-10785
Insulator,4.772,-8.331,169.312,90.013,531.957,134.169,2.544,128.544,2.501,2.522,5.246e-05,Er12B12O36,mp-10791
Insulator,4.855,-8.392,172.658,91.039,526.306,134.252,2.539,128.355,2.486,2.618,5.242e-05,Dy12B12O36,mp-10792
Insulator,0.673,-5.859,35.043,21.367,243.172,56.96,2.98,54.09,2.89,2.593,5.255e-05,Ta4Tl4S12,mp-10795
Insulator,0.96,-4.466,104.632,39.346,387.882,32.632,2.909,30.96,2.802,2.596,5.163e-05,Hg2Se2O8,mp-10796
Insulator,2.485,-4.316,72.249,26.516,332.041,55.651,2.941,52.662,2.851,2.575,5.162e-05,Hg4Se4O12,mp-10798
Insulator,0.639,-3.242,12.365,5.584,149.925,49.663,3.199,44.559,2.954,2.858,6.022e-05,Rb8As8,mp-10802
Insulator,5.008,-7.188,102.71,61.998,558.497,39.861,2.651,40.715,2.48,2.73,5.942e-05,Na2Y2P2O8F2,mp-10804
Insulator,1.849,-3.853,40.884,18.894,354.241,24.026,2.941,23.106,2.811,3.425,6.303e-05,Ag1Sn1F6,mp-10809
Insulator,2.105,-4.579,58.795,34.953,397.681,23.636,2.857,23.246,2.718,3.458,6.366e-05,Ti1Ag1F6,mp-10810
Insulator,2.077,-6.565,99.727,57.917,462.584,35.034,2.669,34.608,2.549,3.277,6.048e-05,Na1Sr4B3N6,mp-10811
Insulator,3.667,-6.596,88.466,67.932,568.273,62.257,2.543,59.336,2.448,2.799,5.991e-05,Sr4Li4B4O12,mp-10814
Insulator,3.488,-4.76,21.324,10.832,189.117,50.363,3.214,48.14,2.894,2.4,7.162e-05,Rb8C8,mp-10821
Metal,0.0,-3.217,55.746,17.368,239.146,22.29,3.086,21.341,2.934,2.675,6.067e-05,Zn1Cu2Ge1Se4,mp-10824
Insulator,1.492,-5.584,30.702,12.123,211.673,47.003,3.052,45.367,2.938,2.511,5.175e-05,Rb2Nd4Cu2S8,mp-10834
Insulator,1.341,-5.622,27.958,12.084,201.56,48.357,3.06,47.078,2.948,2.501,5.175e-05,Rb2Sm4Cu2S8,mp-10835
Insulator,4.588,-4.629,53.222,37.94,444.585,110.336,2.802,105.04,2.692,3.159,6.312e-05,Na8Mg4In4F28,mp-10837
Insulator,1.783,-4.742,33.388,11.642,296.129,53.834,2.94,49.702,2.846,2.427,5.238e-05,Na2Yb2P4S12,mp-10838
Insulator,5.419,-7.736,109.843,57.053,742.364,22.112,2.281,22.591,2.228,3.25,5.928e-05,Si3O6,mp-10851
Insulator,1.433,-6.278,193.84,125.954,674.648,28.41,2.39,27.766,2.338,2.552,6.042e-05,Ge4O8,mp-10913
