ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,1.047,-6.397,131.745,74.98,559.793,29.522,2.614,29.011,2.488,2.762,6.018e-05,Fe4O8,mvc-12905
Insulator,2.49,-4.191,3.79,3.93,377.68300000000005,16.791,2.886,17.163,2.762,3.44,6.961e-05,S6,mp-7
Insulator,0.997,-3.3819999999999997,28.294,6.569,146.767,9.68,3.1060000000000003,8.771,2.926,3.01,6.158e-05,Se3,mp-14
Metal,0.0,-3.1010000000000004,31.893,6.225,121.48100000000001,10.146,3.089,9.237,2.9539999999999997,3.1660000000000004,5.444e-05,Te3,mp-19
Insulator,3.355,-8.355,382.355,490.162,2012.191,4.0360000000000005,0.679,4.262,0.634,3.043,8.583e-05,C8,mp-24
Insulator,7.303999999999999,-8.054,-4.641,0.5720000000000001,537.4730000000001,21.673000000000002,2.667,21.105999999999998,2.612,3.2110000000000003,6.308e-05,N8,mp-25
Insulator,3.1660000000000004,-8.632,404.186,521.822,2076.203,1.74,0.629,1.8159999999999998,0.588,3.2230000000000003,8.583e-05,C4,mp-47
Insulator,3.593,-8.668,416.966,505.647,2070.786,1.149,0.6579999999999999,1.139,0.617,4.279,8.586e-05,C2,mp-66
Insulator,2.281,-4.0969999999999995,1.6280000000000001,4.56,369.77099999999996,96.93299999999999,2.8510000000000004,88.575,2.7439999999999998,2.637,6.953e-05,S32,mp-77
Insulator,2.311,-4.277,-0.248,2.638,394.67,137.11,2.793,134.217,2.752,2.66,6.947e-05,S56,mp-83
Insulator,2.459,-4.039,2.157,2.1919999999999997,379.384,97.053,2.827,88.23100000000001,2.767,2.617,6.953e-05,S32,mp-96
Insulator,11.663,-0.035,13.058,10.432,218.421,4.198,3.562,3.1889999999999996,2.889,4.093999999999999,6.121e-05,Ne1,mp-111
Insulator,3.157,-5.236000000000001,43.538999999999994,26.45,455.54699999999997,56.42100000000001,2.7910000000000004,52.631,2.713,2.865,6.951e-05,P24,mp-118
Insulator,0.332,-4.379,64.806,46.045,309.69599999999997,31.633000000000003,2.97,28.982,2.8489999999999998,2.7510000000000003,6.242e-05,Ge12,mp-137
Insulator,1.359,-3.392,21.795,1.374,136.977,18.445,3.12,17.718,2.9530000000000003,2.7769999999999997,6.158e-05,Se6,mp-147
Insulator,0.742,-5.228,79.455,49.213,560.299,5.1080000000000005,2.6660000000000004,4.739,2.577,3.417,6.068e-05,Si2,mp-149
Insulator,7.346,-8.056000000000001,-4.769,-0.21600000000000003,537.4730000000001,21.689,2.67,21.105999999999998,2.615,3.2110000000000003,6.308e-05,N8,mp-154
Insulator,1.561,-5.397,71.812,47.394,513.061,10.517000000000001,2.742,9.932,2.622,3.32,6.959e-05,P4,mp-157
Insulator,1.666,-6.531000000000001,212.36,193.475,1452.2060000000001,19.662,1.3730000000000002,19.160999999999998,1.264,3.515,7.388e-05,B12,mp-160
Insulator,0.667,-5.263999999999999,78.96,50.434,566.587,10.152999999999999,2.637,9.976,2.549,3.443,6.066e-05,Si4,mp-165
Insulator,1.268,-8.892000000000001,135.66,132.959,1474.759,3.4619999999999997,1.2590000000000001,3.779,1.2109999999999999,4.039,8.424e-05,C2,mp-169
Metal,0.0,-2.255,30.936,18.081,228.15,32.692,3.205,29.29,2.9210000000000003,2.9530000000000003,6.159999999999999e-05,K3Ga9,mp-181
Insulator,0.38799999999999996,-6.2379999999999995,214.796,108.02,521.374,21.093000000000004,2.623,20.705,2.592,2.559,6.078e-05,Si4Ru4,mp-189
Insulator,0.48,-5.843,82.81299999999999,41.033,419.532,94.85600000000001,2.7760000000000002,86.304,2.71,2.786,5.253e-05,La4P28,mp-200
Insulator,1.183,-4.877,51.846000000000004,16.278,155.129,58.994,3.0610000000000004,59.228,2.945,2.405,4.727e-05,Er8Se12,mp-209
Insulator,3.412,-8.172,141.236,82.95,630.198,95.166,2.4330000000000003,95.286,2.42,2.736,6.022e-05,Sc16O24,mp-216
Metal,0.0,-8.365,96.339,46.423,291.629,112.065,3.0010000000000003,110.383,2.8369999999999997,2.485,5.176e-05,Sm16O24,mp-218
Insulator,2.5610000000000004,-6.192,111.809,71.95100000000001,588.139,20.9,2.615,21.493000000000002,2.479,2.67,5.93e-05,Ge3O6,mp-223
Insulator,1.265,-6.693,65.852,39.906,359.915,16.125999999999998,2.82,16.049,2.7289999999999996,2.6639999999999997,5.25e-05,W2S4,mp-224
Insulator,1.824,-4.607,129.05200000000002,95.355,581.597,31.182,2.574,29.72,2.495,2.656,6.109e-05,Fe4S8,mp-226
Insulator,1.854,-5.937,133.078,67.007,488.579,63.418,2.695,63.619,2.642,2.499,5.993e-05,Sb8O16,mp-230
Insulator,2.826,-5.358,23.785,18.292,550.354,20.711,2.589,21.37,2.524,3.3089999999999997,6.906e-05,S4N4,mp-236
Insulator,1.2819999999999998,-4.69,45.69,15.113,286.05,26.686,2.9819999999999998,26.093000000000004,2.885,2.763,5.245e-05,Ba2S6,mp-239
Insulator,2.526,-3.495,82.875,30.415,288.411,8.315,3.033,7.778,2.8680000000000003,4.373,6.393e-05,Cd1F2,mp-241
Insulator,3.241,-4.395,21.531,4.478,227.673,47.82899999999999,3.225,45.94,2.86,2.415,7.149e-05,K8C8,mp-243
Insulator,1.4709999999999999,-3.4819999999999998,51.25899999999999,32.778,285.177,5.836,2.9760000000000004,5.629,2.8689999999999998,3.785,6.08e-05,Be1Te1,mp-252
Insulator,4.82,-6.9079999999999995,95.15899999999999,41.137,352.25300000000004,64.123,2.9330000000000003,65.548,2.8280000000000003,3.617,5.531e-05,Nd6F18,mp-254
Metal,0.0,-7.279,105.723,55.465,306.14799999999997,5.664,2.929,5.349,2.839,3.1719999999999997,5.243e-05,La1N1,mp-256
Insulator,0.49700000000000005,-4.404,95.102,58.43600000000001,266.684,17.699,2.9389999999999996,17.105,2.841,2.8739999999999997,5.442e-05,Te4Ru2,mp-267
Insulator,0.9390000000000001,-9.737,208.21,93.05,574.628,74.124,2.536,71.469,2.505,2.866,6.438e-05,Zr12N16,mp-277
Insulator,1.956,-6.172999999999999,105.38600000000001,54.67,486.103,8.267999999999999,2.72,8.022,2.617,4.417,6.406e-05,Ti1F2,mp-282
Insulator,1.264,-4.203,49.157,22.228,173.058,5.915,3.089,5.675,2.967,3.1310000000000002,5.201e-05,Yb1Se1,mp-286
Insulator,0.856,-4.292,118.52600000000001,31.796,220.166,11.795,2.992,11.558,2.908,2.748,5.385e-05,Pt2S2,mp-288
Insulator,2.47,-8.693,131.003,51.815,384.969,77.5,2.8569999999999998,74.84100000000001,2.787,2.608,5.196e-05,U8O24,mp-294
Insulator,0.314,-3.452,32.681,19.06,275.145,35.57,2.98,33.454,2.8819999999999997,2.9939999999999998,6.253e-05,Ca8Ge4,mp-304
Insulator,6.202000000000001,-7.901,102.081,91.741,960.285,27.02,1.8940000000000001,26.258000000000003,1.857,2.739,6.903e-05,B6O9,mp-306
Insulator,3.957,-4.67,59.181999999999995,16.926,180.454,8.701,3.123,7.936,2.957,4.248,4.994e-05,Pb1F2,mp-315
Insulator,0.907,-3.5189999999999997,37.786,11.91,138.345,24.223000000000003,3.187,23.201999999999998,2.965,2.349,5.237e-05,Tl4S4,mp-322
Insulator,6.547999999999999,-6.522,105.74600000000001,41.571999999999996,351.189,12.36,2.908,12.155999999999999,2.804,4.266,5.489e-05,La1F3,mp-323
Insulator,6.582000000000001,-6.504,86.727,36.73,341.504,64.452,2.945,66.069,2.8280000000000003,3.5189999999999997,5.487e-05,La6F18,mp-334
Insulator,2.254,-4.232,40.968,20.397000000000002,349.04400000000004,14.453,2.9619999999999997,13.825999999999999,2.8280000000000003,4.183,5.395e-05,Pb1F4,mp-341
Metal,0.0,-7.37,111.66,57.508,293.289,5.702000000000001,2.958,5.393,2.862,2.971,5.232e-05,Pr1N1,mp-343
Insulator,4.902,-8.397,217.769,181.738,1416.079,12.27,1.2329999999999999,10.401,1.178,3.0269999999999997,7.122e-05,B4N4,mp-344
Insulator,3.822,-9.771,193.477,105.455,438.499,30.02,2.742,29.919,2.608,2.7260000000000004,5.178e-05,Hf4O8,mp-352
Insulator,0.431,-1.7469999999999999,36.344,8.742,107.95100000000001,18.867,3.199,17.634,2.992,2.8089999999999997,5.178e-05,Hg3Te3,mp-358
Insulator,0.609,-3.425,104.631,16.173,212.144,17.777,3.082,17.579,2.9339999999999997,3.157,6.012e-05,Cu4O2,mp-361
Metal,0.0,-5.977,163.514,135.565,1071.943,33.554,1.702,29.245,1.6869999999999998,3.181,6.328e-05,Mg4B16,mp-365
Insulator,3.8539999999999996,-7.035,28.831,18.632,624.1519999999999,47.471000000000004,2.456,45.93,2.415,2.7760000000000002,6.82e-05,P8O12,mp-368
Metal,0.0,-2.755,61.87,21.17,216.58900000000003,5.996,3.0810000000000004,5.6160000000000005,2.935,2.852,6.061e-05,Cd1S1,mp-370
Insulator,2.206,-8.634,93.275,40.829,340.599,11.517000000000001,2.875,11.917,2.82,3.035,5.196e-05,U1O3,mp-375
Insulator,1.639,-2.6839999999999997,51.211000000000006,20.709,233.62,12.181,3.075,11.632,2.929,2.833,6.0599999999999996e-05,Zn2Se2,mp-380
Metal,0.0,-6.337999999999999,89.934,33.382,193.07,41.081,3.029,40.484,2.935,2.4619999999999997,5.2300000000000004e-05,Th6As8,mp-382
Insulator,1.294,-2.57,8.892000000000001,4.406000000000001,95.765,19.823,3.362,17.878,2.9939999999999998,3.366,6.131e-05,Rb4Te2,mp-383
Insulator,0.898,-4.988,65.817,49.658,527.165,25.026999999999997,2.66,25.076,2.5639999999999996,2.8339999999999996,6.102e-05,Mg2P8,mp-384
Insulator,2.245,-7.803999999999999,173.49599999999998,89.785,668.997,14.163,2.425,13.975999999999999,2.326,3.051,6.024e-05,Ti2O4,mp-390
Insulator,1.8359999999999999,-5.525,71.318,27.555,374.902,52.36,2.8539999999999996,47.18600000000001,2.786,2.569,6.084e-05,Sc8S12,mp-401
Insulator,1.411,-3.897,64.297,31.449,319.97,33.717,2.967,32.075,2.8569999999999998,2.6489999999999996,6.117e-05,Cd4P8,mp-402
