,material_id,full_formula,band_gap,is_gap_direct,direct_gap,p_ex1_norm,p_ex1_degen,n_ex1_norm,n_ex1_degen,cbm_hybridization,cbm_character_1,cbm_specie_1,cbm_location_1,cbm_score_1,vbm_hybridization,vbm_character_1,vbm_specie_1,vbm_location_1,vbm_score_1
0,mp-540537,Cr4Te8O22,2.3209000000000004,1.0,2.3209000000000004,0.5,1.0,0.5,1.0,3.171776116304516,p,Te,0.860122;0.67244;0.586467,0.12849293664442646,3.0343524223621063,d,Cr,0.001039;0.682243;0.884618,0.13751363863533855
1,mp-554288,Na4P4H16O20,,,,,,,,4.0564143996864335,s,Na,0.98348;0.504075;0.485511,0.03310337795456725,3.0071522278088905,p,O,0.235423;0.772961;0.000403,0.1053982892380874
2,mp-23931,Li4P4H8O12,,,,,,,,3.786044256473652,p,P,0.815108;0.744944;0.844605,0.052935565109325525,2.751642196170417,p,O,0.734207;0.705863;0.21093,0.09611558200813188
3,mp-27499,Ba4Te4S12,1.9176000000000009,0.0,2.1318,0.44444444,2.0,0.33333333,2.0,3.215407393166265,p,Te,0.25;0.025213;0.74493,0.11239759947475332,3.010517917962699,p,S,0.487639;0.123794;0.159797,0.06964483081983207
4,mp-680577,K4Ga8Cl28,,,,,,,,3.8542005553780574,s,Ga,0.629841;0.714246;0.629212,0.06666486055566744,3.3184950967615165,p,Cl,0.930067;0.572759;0.237617,0.053614403375631725
5,mp-18711,Li2Nd2P8O24,,,,,,,,,,,,,,,,,
6,mp-24350,K4Co2H16C4O20,,,,,,,,1.2963904295861102,d,Co,0.0;0.0;0.0,0.4893401851359148,2.640442762335263,d,Co,0.5;0.5;0.5,0.23401548804893205
7,mp-696156,Ca6Si4H12O20,,,,,,,,4.1589580963689246,s,O,0.808242;0.384944;0.737887,0.03760180800105505,2.9256128922481777,p,O,0.312479;0.344935;0.055739,0.09953354122004572
8,mp-696155,Na8P4H8C2O18,,,,,,,,2.1470830641200602,p,C,0.0;0.5;0.351769,0.28887699016945945,2.862252070134712,p,O,0.5;0.0;0.455961,0.18889590762718425
9,mp-721287,Na6As2H28S2O20,,,,,,,,3.634204857232224,s,As,0.648923;0.1995;0.806914,0.09501284188175667,2.032120943029504,p,S,0.308897;0.860635;0.109506,0.34175187478816793
10,mp-30965,Na2Cl2O4,2.4465000000000003,1.0,2.4465000000000003,0.7071067811865476,1.0,0.7071067811865476,1.0,2.340482175761288,p,Cl,0.844489;0.155511;0.75,0.16291985387792424,1.8513180075500144,p,Cl,0.844489;0.155511;0.75,0.17096496980998685
11,mp-504451,Cs6Mn2Cl10,2.8966000000000003,0.0,2.9072,0.5,2.0,0.0,1.0,1.1399372452793686,d,Mn,0.25;0.75;0.5,0.4587755571204343,1.8825689824384613,d,Mn,0.75;0.25;0.5,0.3378469195137501
12,mp-504605,Na8Si4H64O44,,,,,,,,4.952844349121144,s,O,0.840993;0.110425;0.050387,0.018792755244340226,3.303766431431627,p,O,0.532159;0.711927;0.940243,0.09900639670215723
13,mp-17558,Ca10Ga4As12,,,,,,,,3.8018340908991273,p,As,0.0;0.519456;0.593577,0.056190096339840234,3.006469671106391,p,As,0.0;0.019456;0.906423,0.12747350010655836
14,mp-19064,Yb4Fe6O14,,,,,,,,,,,,,,,,,
15,mp-641415,Pb8W8O32,,,,,,,,3.2087114325848387,d,W,0.830017;0.917942;0.918456,0.09741868859133504,3.8442402769618393,p,O,0.07811;0.054584;0.918358,0.050582433839240486
16,mp-706283,In4H28N8O4F16,,,,,,,,3.397201583371239,s,In,0.135214;0.215168;0.052963,0.13111479716033705,3.0977575397792454,p,N,0.00064;0.673253;0.899821,0.16477430853015915
17,mp-1201209,Mo4C16I4O16,,,,,,,,,,,,,,,,,
18,mp-633158,Na1Te1H6O6F1,3.5809,0.0,3.7343,0.7101127512129393,3.0,0.0,1.0,2.3810694822352243,s,Te,0.997182;0.997182;0.997182,0.28516597110326103,2.0297276272159035,p,O,0.935204;0.64306;0.176437,0.1992970586582308
19,mp-556186,P8S4N12Cl20O4,4.0172,0.0,4.0453,0.4375,2.0,0.0,1.0,4.0679798682256,p,Cl,0.319567;0.337947;0.525791,0.05096051094192317,3.4856269557224064,p,Cl,0.680433;0.837947;0.974209,0.06641191271634495
20,mp-1197287,Ge12S24,,,,,,,,,,,,,,,,,
21,mp-560123,Fe2Bi6Mo4O24,2.5911,0.0,2.6222,1.0248714696532415,2.0,0.9224297551904944,2.0,2.1947329692434785,d,Fe,0.881908;0.118092;0.25,0.336274994245484,3.4434939910891824,p,O,0.746919;0.15348;0.029349,0.07025856017902238
22,mp-23386,Sn24S12I24,,,,,,,,4.364197095594076,p,Sn,0.75;0.66342;0.84026,0.03604817360508118,4.298328440038826,p,I,0.75;0.663017;0.368445,0.02425742755568033
23,mp-4556,Li8S4O16,,,,,,,,,,,,,,,,,
24,mp-2507,Ga4S4,2.0036,0.0,2.0266,0.07856742641723223,6.0,0.0,1.0,2.884754913145609,p,S,0.333333;0.666667;0.88315,0.08543685938123445,2.3516440577122077,p,S,0.333333;0.666667;0.88315,0.15694644133126032
25,mp-706339,Mg4B12H60O52,,,,,,,,4.220816961482109,s,O,0.518911;0.160383;0.086336,0.025525698895390483,3.691382573331661,p,O,0.208954;0.499877;0.254464,0.06979884656029478
