material_id,full_formula,band_gap,is_gap_direct,direct_gap,p_ex1_norm,p_ex1_degen,n_ex1_norm,n_ex1_degen,cbm_hybridization,cbm_score_1,vbm_hybridization,vbm_score_1,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Ac,Th,Pa,U,Np,Pu,minimum EN difference,maximum EN difference,range EN difference,mean EN difference,std_dev EN difference,MP_Eg,OQMD_Eg,AFLOW_Eg,AFLOW-fitted_Eg,AFLOWML_Eg,JARVIS-TBMBJ_Eg,JARVIS-OPT_Eg,Exp_Eg,vbm_specie_1_Ag,vbm_specie_1_Al,vbm_specie_1_Ar,vbm_specie_1_As,vbm_specie_1_Au,vbm_specie_1_B,vbm_specie_1_Ba,vbm_specie_1_Be,vbm_specie_1_Bi,vbm_specie_1_Br,vbm_specie_1_C,vbm_specie_1_Ca,vbm_specie_1_Cd,vbm_specie_1_Ce,vbm_specie_1_Cl,vbm_specie_1_Co,vbm_specie_1_Cr,vbm_specie_1_Cu,vbm_specie_1_Dy,vbm_specie_1_Er,vbm_specie_1_Eu,vbm_specie_1_F,vbm_specie_1_Fe,vbm_specie_1_Ga,vbm_specie_1_Gd,vbm_specie_1_Ge,vbm_specie_1_H,vbm_specie_1_He,vbm_specie_1_Hg,vbm_specie_1_Ho,vbm_specie_1_I,vbm_specie_1_In,vbm_specie_1_Ir,vbm_specie_1_Kr,vbm_specie_1_La,vbm_specie_1_Lu,vbm_specie_1_Mn,vbm_specie_1_Mo,vbm_specie_1_N,vbm_specie_1_Na,vbm_specie_1_Nb,vbm_specie_1_Nd,vbm_specie_1_Ni,vbm_specie_1_Np,vbm_specie_1_O,vbm_specie_1_Os,vbm_specie_1_P,vbm_specie_1_Pa,vbm_specie_1_Pb,vbm_specie_1_Pd,vbm_specie_1_Pr,vbm_specie_1_Pt,vbm_specie_1_Pu,vbm_specie_1_Re,vbm_specie_1_Rh,vbm_specie_1_Ru,vbm_specie_1_S,vbm_specie_1_Sb,vbm_specie_1_Sc,vbm_specie_1_Se,vbm_specie_1_Si,vbm_specie_1_Sm,vbm_specie_1_Sn,vbm_specie_1_Sr,vbm_specie_1_Ta,vbm_specie_1_Tb,vbm_specie_1_Tc,vbm_specie_1_Te,vbm_specie_1_Th,vbm_specie_1_Ti,vbm_specie_1_Tl,vbm_specie_1_Tm,vbm_specie_1_U,vbm_specie_1_V,vbm_specie_1_W,vbm_specie_1_Xe,vbm_specie_1_Y,vbm_specie_1_Yb,vbm_specie_1_Zn,vbm_specie_1_Zr,vbm_character_1_d,vbm_character_1_f,vbm_character_1_p,vbm_character_1_s,cbm_character_1_d,cbm_character_1_f,cbm_character_1_p,cbm_character_1_s,cbm_specie_1_Ac,cbm_specie_1_Ag,cbm_specie_1_Al,cbm_specie_1_Ar,cbm_specie_1_As,cbm_specie_1_Au,cbm_specie_1_B,cbm_specie_1_Ba,cbm_specie_1_Be,cbm_specie_1_Bi,cbm_specie_1_Br,cbm_specie_1_C,cbm_specie_1_Ca,cbm_specie_1_Cd,cbm_specie_1_Ce,cbm_specie_1_Cl,cbm_specie_1_Co,cbm_specie_1_Cr,cbm_specie_1_Cs,cbm_specie_1_Cu,cbm_specie_1_Dy,cbm_specie_1_Er,cbm_specie_1_Eu,cbm_specie_1_F,cbm_specie_1_Fe,cbm_specie_1_Ga,cbm_specie_1_Gd,cbm_specie_1_Ge,cbm_specie_1_H,cbm_specie_1_He,cbm_specie_1_Hf,cbm_specie_1_Hg,cbm_specie_1_Ho,cbm_specie_1_I,cbm_specie_1_In,cbm_specie_1_Ir,cbm_specie_1_K,cbm_specie_1_Kr,cbm_specie_1_La,cbm_specie_1_Li,cbm_specie_1_Lu,cbm_specie_1_Mg,cbm_specie_1_Mn,cbm_specie_1_Mo,cbm_specie_1_N,cbm_specie_1_Na,cbm_specie_1_Nb,cbm_specie_1_Nd,cbm_specie_1_Ni,cbm_specie_1_Np,cbm_specie_1_O,cbm_specie_1_Os,cbm_specie_1_P,cbm_specie_1_Pa,cbm_specie_1_Pb,cbm_specie_1_Pd,cbm_specie_1_Pm,cbm_specie_1_Pr,cbm_specie_1_Pt,cbm_specie_1_Pu,cbm_specie_1_Rb,cbm_specie_1_Re,cbm_specie_1_Rh,cbm_specie_1_Ru,cbm_specie_1_S,cbm_specie_1_Sb,cbm_specie_1_Sc,cbm_specie_1_Se,cbm_specie_1_Si,cbm_specie_1_Sm,cbm_specie_1_Sn,cbm_specie_1_Sr,cbm_specie_1_Ta,cbm_specie_1_Tb,cbm_specie_1_Tc,cbm_specie_1_Te,cbm_specie_1_Th,cbm_specie_1_Ti,cbm_specie_1_Tl,cbm_specie_1_Tm,cbm_specie_1_U,cbm_specie_1_V,cbm_specie_1_W,cbm_specie_1_Xe,cbm_specie_1_Y,cbm_specie_1_Yb,cbm_specie_1_Zn,cbm_specie_1_Zr,cbm_location_1_0,cbm_location_1_1,cbm_location_1_2,vbm_location_1_0,vbm_location_1_1,vbm_location_1_2
mp-7,S6,2.5113,0.0,2.615,0.3071638474316773,2.0,0.4672677098812664,6.0,2.2617531553397217,0.1371657973182259,1.862488844631648,0.16457911061211766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924378541293442,1.8826366998132975,0.7901988456839532,1.4556074069975504,0.4620812159900664,2.4881,2.085,2.5251,4.31683,2.406,3.0448,1.9604,3.850819905213271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875688,0.771772,0.102434,0.897566,0.124312,0.228228
mp-14,Se3,1.0119000000000002,0.0,1.1934999999999998,0.7071067811865476,3.0,0.6871842677024684,3.0,1.6049137542537828,0.28643755503015506,1.3483875948595432,0.33133155439461165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924378541293442,1.8826366998132975,0.7901988456839532,1.4556074069975504,0.4620812159900664,1.0119000000000002,2.779183962264151,0.9784,2.23188,0.964,2.2888,0.8982,3.850819905213271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.219209,0.666667,0.780791,0.780791,0.0
mp-19,Te3,0.1844999999999999,0.0,0.2035,0.6548540172385601,6.0,0.6871842677024684,3.0,1.5276978956769396,0.30124176613037745,1.4812825835762953,0.33156951009599833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924378541293442,1.8826366998132975,0.7901988456839532,1.4556074069975504,0.4620812159900664,0.5751999999999997,2.779183962264151,0.1534,1.11978,0.17600000000000002,0.6148,0.1655,3.850819905213271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.26895,0.0,0.333333,0.73105,0.73105,0.0
mp-24,C8,2.407,1.0,2.407,0.8660254037844386,1.0,0.8660254037844386,1.0,2.621089146796451,0.09681805531507187,2.1087414224558327,0.12554419866307115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924378541293442,1.8826366998132975,0.7901988456839532,1.4556074069975504,0.4620812159900664,2.778500000000001,2.779183962264151,2.4528,4.21937,3.182,3.3186,2.7427,3.850819905213271,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.688271,0.5,0.5,0.0,0.688271
mp-47,C4,3.3394999999999992,0.0,4.950199999999999,0.0,1.0,0.4714045160769865,6.0,1.3862943606743112,0.2500023869232087,1.409042814080733,0.2493214490149491,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924378541293442,1.8826366998132975,0.7901988456839532,1.4556074069975504,0.4620812159900664,3.3394999999999992,2.779183962264151,3.3412,5.41694,2.721,4.7622,3.7645,3.850819905213271,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0.666667,0.062772,0.666667,0.333333,0.562772
mp-66,C2,4.1144,0.0,5.5726999999999975,0.0,1.0,0.5106882292856026,6.0,1.3842592459718115,0.26594417530400083,0.7527091396848946,0.4946093142980096,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924378541293442,1.8826366998132975,0.7901988456839532,1.4556074069975504,0.4620812159900664,4.3386999999999984,2.779183962264151,2.157502270381837,3.8213131253869967,3.506,5.0352,4.4572,3.850819905213271,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25
mp-77,S32,2.4922018290784558,0.2559153175591532,2.5975075420298883,0.36906854392527844,1.8097758405977584,0.29260217512166137,1.5771326276463262,2.8149826881084183,0.20166611213879865,2.6938217331962955,0.16984337566749408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924378541293442,1.8826366998132975,0.7901988456839532,1.4556074069975504,0.4620812159900664,2.7125,0.927,2.157502270381837,3.8213131253869967,1.916,3.68999913448735,2.55984781096563,3.850819905213271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412317138269221,0.4193964819858733,0.42036113735454045,0.4504036202550943,0.4468419161034606,0.45340698861730777
mp-83,S56,2.4922018290784558,0.2559153175591532,2.5975075420298883,0.36906854392527844,1.8097758405977584,0.29260217512166137,1.5771326276463262,4.357027346107719,0.02239124451972909,4.055008073959217,0.028768277458887336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924378541293442,1.8826366998132975,0.7901988456839532,1.4556074069975504,0.4620812159900664,2.5623,2.267,2.157502270381837,3.8213131253869967,2.275,3.68999913448735,2.55984781096563,3.850819905213271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412184,0.679779,0.715289,0.254829,0.719764,0.18054
mp-96,S32,2.4922018290784558,0.2559153175591532,2.5975075420298883,0.36906854392527844,1.8097758405977584,0.29260217512166137,1.5771326276463262,2.8149826881084183,0.20166611213879865,2.6938217331962955,0.16984337566749408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924378541293442,1.8826366998132975,0.7901988456839532,1.4556074069975504,0.4620812159900664,2.7405,2.126,2.7519,4.62256,2.32,3.68999913448735,2.55984781096563,3.850819905213271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412317138269221,0.4193964819858733,0.42036113735454045,0.4504036202550943,0.4468419161034606,0.45340698861730777
mp-137,Ge12,0.34330000000000016,1.0,0.34330000000000016,0.4714045160769865,4.0,0.4714045160769865,4.0,3.3909269064352245,0.048028488499518164,2.8358887806258544,0.07972447356739598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924378541293442,1.8826366998132975,0.7901988456839532,1.4556074069975504,0.4620812159900664,0.8732000000000002,0.47700000000000004,0.3178,1.3413899999999999,0.332,3.68999913448735,2.55984781096563,3.850819905213271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412352,0.587648,0.75,0.587648,0.412352,0.25
