,aflow_bg,aflow_bg_fit,aflow_sg_orig,aflow_sg_relax,aflow_icsd
0,,,,,
1,2.5251,4.31683,148.0,148.0,27495.0
2,0.9784,2.23188,152.0,152.0,
3,0.1534,1.11978,152.0,152.0,
4,2.4528,4.21937,206.0,206.0,
5,7.3532,10.8251,205.0,205.0,15472.0
6,3.3412,5.41694,194.0,194.0,
7,0.0,0.0,227.0,227.0,
8,0.0,0.0,70.0,70.0,27261.0
9,,,,,16470.0
10,2.7519,4.62256,13.0,13.0,2091.0
11,11.9976,17.0858,225.0,225.0,24787.0
12,3.5532,5.70271,2.0,2.0,68326.0
13,0.3178,1.3413899999999999,96.0,96.0,16570.0
14,1.5521,3.00523,148.0,148.0,86375.0
15,0.61,1.73528,227.0,227.0,67788.0
16,7.3874,10.8712,198.0,198.0,15819.0
17,0.0,0.0,69.0,123.0,23836.0
18,1.4514,2.8694900000000003,166.0,166.0,
19,0.4507,1.52054,194.0,194.0,30101.0
20,0.1642,1.13434,166.0,166.0,
21,,,,,20664.0
22,,,,,79231.0
23,0.4105,1.46635,14.0,14.0,41938.0
24,,,,,
25,,,,,24200.0
26,,,,,40475.0
27,3.1341,5.13777,154.0,154.0,66592.0
28,,,,,56014.0
29,2.0165,3.63124,205.0,205.0,10422.0
30,,,,,919.0
31,,,,,
32,1.3677,2.7566599999999997,113.0,113.0,23637.0
33,3.0542,5.03006,225.0,225.0,28731.0
34,,,,,36142.0
35,2.0189,3.6344800000000004,216.0,216.0,
36,,,,,63050.0
37,0.0,0.0,225.0,225.0,
38,,,,,106001.0
39,,,,,152050.0
40,,,,,65410.0
41,,,,,33675.0
42,0.8985,2.12418,131.0,131.0,31131.0
43,,,,,
44,0.3218,1.34679,62.0,62.0,42455.0
45,6.2956,9.399469999999999,144.0,152.0,51575.0
46,,,,,20597.0
47,,,,,
48,,,,,167554.0
49,,,,,27089.0
50,,,,,16795.0
51,,,,,
52,3.5412,5.68654,9.0,9.0,162880.0
53,4.0163,6.326969999999999,14.0,14.0,27313.0
54,0.255,1.25674,152.0,152.0,41592.0
55,0.6532,1.79351,224.0,224.0,26963.0
56,,,,,23460.0
57,,,,,62026.0
58,0.4117,1.46797,225.0,225.0,620322.0
59,,,,,26673.0
60,,,,,43595.0
61,,,,,
62,1.3785,2.77122,194.0,194.0,
63,0.6833,1.8340900000000002,14.0,14.0,113.0
64,,,,,9852.0
65,,,,,
66,1.4674,2.89106,33.0,33.0,26199.0
67,0.7091,1.86887,216.0,216.0,31844.0
68,,,,,
69,0.8599,2.07215,189.0,189.0,43405.0
70,0.2211,1.21104,14.0,14.0,160623.0
71,,,,,150586.0
72,3.1433,5.15017,216.0,216.0,
73,,,,,154035.0
74,0.7643,1.94328,62.0,62.0,108979.0
75,1.892,3.4634199999999997,225.0,225.0,
76,,,,,
77,,,,,415950.0
78,,,,,9052.0
79,7.6418,11.2141,2.0,167.0,36034.0
80,1.1859,2.51159,136.0,136.0,9162.0
81,,,,,16037.0
82,,,,,
83,1.848,3.4041,227.0,227.0,87767.0
84,,,,,18208.0
85,0.6698,1.8158900000000002,15.0,15.0,91560.0
86,0.0,0.0,2.0,12.0,23334.0
87,1.9759,3.57651,11.0,11.0,16107.0
88,,,,,1404.0
89,1.7458,3.26634,9.0,9.0,488.0
90,,,,,16655.0
91,,,,,25706.0
92,0.8713,2.08751,227.0,227.0,151782.0
93,,,,,22197.0
94,,,,,15431.0
95,2.7746,4.65316,15.0,15.0,16802.0
96,2.4072,4.15791,15.0,15.0,1703.0
97,,,,,164289.0
98,,,,,107916.0
99,0.0,0.0,152.0,152.0,
100,,,,,15239.0
101,,,,,
102,0.1625,1.13205,87.0,87.0,
103,2.4961,4.2777400000000005,225.0,225.0,56024.0
104,4.0583,6.38359,186.0,186.0,31169.0
105,,,,,43594.0
