,jarvis_bg_tbmbj,jarvis_bg_opt,jarvis_spillage
0,,,
1,3.0448,1.9604,
2,2.2888,0.8982,
3,0.6148,0.1655,1.318
4,3.3186,2.7427,
5,9.3518,7.1651,
6,4.7622,3.7645,
7,5.0352,4.4572,
8,,,
9,,,
10,,,
11,20.9272,12.1959,
12,3.2584,2.7728,
13,,,
14,2.1175,1.2521,
15,1.2773,0.7313,
16,9.3492,7.162999999999999,
17,1.8029,0.0555,
18,,,
19,1.1059999999999999,0.5598,
20,0.5114,0.4584,
21,,,
22,0.0648,0.242,0.033
23,,,
24,,,
25,,,
26,,,
27,,,
28,1.514,0.7182,
29,0.4701,0.4328,
30,,,
31,,2.7213,
32,2.4073,1.4624,
33,6.3799,3.0626,
34,,,
35,2.8207,2.2019,
36,,7.8076,
37,,,
38,,,
39,,,
40,,0.8036,
41,3.4960000000000004,2.0524,
42,,0.4351,0.15
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,3.0198,1.8493,
51,,,
52,5.2395,3.7062,
53,5.6636,4.1231,
54,,,
55,0.4878,0.6439,
56,,,
57,,3.8195,
58,1.6542,0.3061,0.002
59,,0.54,0.885
60,2.6693,1.2554,
61,,,
62,3.1413,1.8822,
63,1.0219,0.5946,
64,2.4742,2.0233,
65,1.4952,0.9802,
66,,,
67,1.6399,0.498,
68,0.5764,0.2992,0.002
69,,,
70,,0.4663,0.238
71,,,
72,4.3762,3.3955,
73,2.5985,2.2329,
74,,,
75,3.4389999999999996,1.8872,
76,,6.4609,
77,,,
78,,,
79,11.0135,8.2402,
80,3.0346,1.3661,
81,,,
82,,,
83,3.0882,1.9982,
84,,0.4689,
85,0.3766,0.49200000000000005,
86,0.4116,0.4806,
87,2.4695,1.5908,
88,,,
89,3.2436,1.6765,
90,,,
91,4.6377,3.0409,
92,1.4387,1.1208,
93,7.9687,5.0305,
94,1.001,0.7646,
95,3.043,2.5662,
96,,,
97,1.8326,1.51,
98,,,
99,2.427,1.3989,
100,3.0579,2.0584,
101,,,
102,,,
103,4.9691,2.5899,
104,5.1966,4.4736,
105,1.1417,0.4709,0.028
106,2.6008,1.0556,
107,4.4052,3.5063,
108,,4.1379,
109,,6.5834,
110,2.593,1.6252,
111,3.002,2.2307,
112,,,
113,2.104,0.7883,0.008
114,,,
115,2.373,1.8305,
116,1.6492,0.7616,
117,,,
118,3.8021,3.1099,
119,,3.415,
120,,,
121,,,
122,,0.9007,
123,4.8454,3.4783,
124,,,
125,,,
126,,,
127,0.9978,0.7206,
128,,,
129,3.0843,1.9434,
130,,4.0942,
131,,,
132,,,
133,,4.3927,
134,2.9033,1.7857,
135,,2.1466,
136,,1.3499,
137,2.385,0.8949,
138,,0.0449,
139,2.4136,1.849,
140,,,
141,,,
142,1.143,0.1923,0.027000000000000003
143,4.0484,2.2673,
144,,,
145,2.0089,1.1358,
146,,,
147,3.0372,2.5227,
148,,,
149,0.8241,0.7461,
150,,,
151,3.5568,2.9717,
152,,,
153,,,
154,,,
155,,,
156,,7.0719,
157,6.1146,4.4598,
158,5.62,4.4606,
159,,,
160,4.9973,2.3843,
161,,,
162,3.6692,2.5303,
163,,,
164,2.2948,1.0417,
165,,,
166,2.0569,0.4991,
167,,,
168,3.6129,2.5397,
169,2.5198,1.1420000000000001,
170,1.4044,0.3506,0.023
171,3.7408,2.3272,
172,0.6129,0.3517,0.014
173,,,
174,4.3663,4.1034,
175,11.2193,9.4789,
176,7.5712,6.4303,
177,,,
178,4.2624,3.5016,
179,,,
180,,,
181,,9.6434,
182,2.0634,1.224,
183,,,
184,,,
185,2.6296,1.2241,
186,,,
187,,0.045,2.017
188,5.8034,3.5808,
189,,,
190,0.0728,0.3699,
191,1.9162,1.2171,
192,,,
193,4.4784,2.6942,
194,,,
195,,,
196,,7.315,
197,,,
198,6.8046,5.1306,
199,3.9328,2.1726,
200,,,
201,1.5132,0.6316,0.114
202,,,
203,,,
204,,,
205,,,
206,4.2555,2.9453,
207,,,
208,,,
209,5.6989,4.8926,
210,2.4002,0.9932,
211,,,
212,1.0523,0.3717,
213,,,
214,,,
215,0.6247,0.3811,
216,,,
217,,3.4819999999999998,
218,1.5566,0.6144,0.013
219,,,
220,4.2543,1.6071,
221,3.1412,1.8818,
222,,,
223,,,
224,,,
225,,,
226,2.1285,2.0140000000000002,
227,,4.2239,
228,,,
229,2.8447,2.5666,
230,4.9126,3.3057,
231,,,
232,,,
233,2.8966,2.3051,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,0.8661,
241,,0.7237,0.108
242,3.8845,2.8476,
243,2.5631,1.7939,
244,,0.1988,0.168
245,,,
246,4.1734,3.4519,
247,,,
248,1.7772,1.4915,
249,2.0709999999999997,0.6777,0.018000000000000002
250,2.9694,2.2434,
251,5.2894,3.4064,
252,,3.8181,
253,,,
254,,1.5269,
255,,,
256,,0.5193,
257,3.2379,1.6131,
258,3.5611,2.7267,
