,oqmd_bg,oqmd_sg,oqmd_icsd
0,,,
1,2.085,148.0,27495.0
2,,,
3,,,
4,,,
5,6.555,205.0,15472.0
6,,,
7,,,
8,0.927,70.0,27261.0
9,2.267,14.0,16470.0
10,2.126,13.0,2091.0
11,13.144,225.0,24787.0
12,3.123,2.0,68326.0
13,0.47700000000000004,96.0,16570.0
14,1.079,148.0,86375.0
15,0.773000000000001,227.0,67788.0
16,6.542999999999999,198.0,15819.0
17,0.162,64.0,23836.0
18,,,
19,0.573,194.0,30101.0
20,,,
21,0.409,119.0,20664.0
22,0.337,198.0,79231.0
23,1.0290000000000001,14.0,41938.0
24,,,
25,4.096,206.0,24200.0
26,4.144,206.0,40475.0
27,3.5389999999999997,154.0,66592.0
28,1.393,194.0,56014.0
29,0.49900000000000105,205.0,10422.0
30,2.336,33.0,919.0
31,,,
32,1.555,113.0,23637.0
33,3.306,225.0,28731.0
34,3.365,142.0,36142.0
35,,,
36,8.407,165.0,63050.0
37,,,
38,0.33899999999999997,58.0,106001.0
39,1.171,62.0,152050.0
40,0.9239999999999989,225.0,65410.0
41,1.973,225.0,33675.0
42,0.42399999999999893,131.0,31131.0
43,,,
44,0.504,62.0,42455.0
45,6.683,152.0,51575.0
46,4.4910000000000005,225.0,20597.0
47,,,
48,5.792999999999999,139.0,167554.0
49,6.85,185.0,27089.0
50,2.093,139.0,16795.0
51,,,
52,3.3510000000000004,9.0,162880.0
53,4.29,14.0,27313.0
54,0.34700000000000003,152.0,41592.0
55,0.87,224.0,26963.0
56,0.505,62.0,23460.0
57,3.26,11.0,62026.0
58,0.37200000000000005,225.0,620322.0
59,2.391,221.0,26673.0
60,1.5590000000000002,186.0,43595.0
61,,,
62,,,
63,0.5920000000000001,14.0,113.0
64,1.955,141.0,9852.0
65,,,
66,1.5119999999999998,33.0,26199.0
67,0.8740000000000001,216.0,31844.0
68,,,
69,0.889,38.0,43405.0
70,0.484,14.0,160623.0
71,0.22699999999999998,221.0,150586.0
72,,,
73,2.056,14.0,154035.0
74,0.925,62.0,108979.0
75,,,
76,,,
77,0.833,229.0,415950.0
78,1.594,166.0,9052.0
79,9.696,167.0,36034.0
80,1.906,136.0,9162.0
81,0.35200000000000004,98.0,16037.0
82,,,
83,2.287,227.0,87767.0
84,0.550999999999999,12.0,18208.0
85,0.457,15.0,91560.0
86,0.49700000000000005,2.0,23334.0
87,1.7380000000000002,11.0,16107.0
88,1.271,14.0,1404.0
89,1.913,9.0,488.0
90,0.304,220.0,16655.0
