material_id,MP_Eg,OQMD_Eg,AFLOW_Eg,AFLOW-fitted_Eg,AFLOWML_Eg,JARVIS-TBMBJ_Eg,JARVIS-OPT_Eg,Exp_Eg
mvc-12905,1.2690000000000001,,,,,,,
mp-7,2.4881,2.085,2.5251,4.31683,2.406,3.0448,1.9604,
mp-14,1.0119000000000002,,0.9784,2.23188,0.9640000000000001,2.2888,0.8982,
mp-19,0.5751999999999997,,0.1534,1.11978,0.17600000000000002,0.6148,0.1655,
mp-24,2.778500000000001,,2.4528,4.21937,3.182,3.3186,2.7427,
mp-25,7.456399999999999,6.555,7.3532,10.8251,,9.3518,7.1651,
mp-47,3.3394999999999992,,3.3412,5.41694,2.721,4.7622,3.7645,
mp-66,4.3386999999999984,,,,3.5060000000000002,5.0352,4.4572,
mp-77,2.7125,0.927,,,1.916,,,
mp-83,2.5623,2.267,,,2.275,,,
mp-96,2.7405,2.126,2.7519,4.62256,2.32,,,
mp-111,11.8025,13.144,11.9976,17.0858,,20.9272,12.1959,
mp-118,3.7308,3.123,3.5532,5.70271,,3.2584,2.7728,
mp-137,0.8732000000000002,0.477,0.3178,1.34139,0.332,,,
mp-147,1.5760999999999998,1.079,1.5521,3.00523,,2.1175,1.2521,
mp-149,0.8526999999999996,0.773000000000001,0.61,1.73528,0.478,1.2773,0.7313,
mp-154,7.4649,6.542999999999998,7.3874,10.8712,,9.3492,7.1629999999999985,
mp-157,0.11509999999999998,0.162,,,,1.8029,0.0555,
mp-160,1.5219000000000005,,1.4514,2.8694900000000003,,,,
mp-165,0.5139000000000005,0.573,0.4507,1.52054,0.431,1.106,0.5598,
mp-169,1.7730000000000006,,0.1642,1.13434,0.532,0.5114,0.4584,
mp-181,0.6231,0.409,,,,,,
mp-189,0.2540999999999993,0.337,,,0.38799999999999996,0.0648,0.242,
mp-200,0.8723000000000001,1.029,0.4105,1.46635,,,,
mp-209,1.3585999999999998,,,,,,,
mp-216,3.8139999999999996,4.096,,,,,,
mp-218,3.8775,4.144,,,,,,
mp-223,3.2607,3.539,3.1341,5.13777,2.719,,,
mp-224,1.5656999999999996,1.393,,,1.2329999999999999,1.514,0.7182,
mp-226,0.4573,0.499000000000001,2.0165,3.63124,1.824,0.4701,0.4328,
mp-230,1.9048000000000007,2.336,,,,,,
mp-236,2.9471000000000003,,,,,,2.7213,
mp-239,1.6197,1.555,1.3677,2.75666,1.3019999999999998,2.4073,1.4624,
mp-241,3.0701,3.306,3.0542,5.03006,,6.3799,3.0626,6.0
mp-243,3.3007,3.365,,,,,,
mp-252,2.2113000000000005,,2.0189,3.63448,,2.8207,2.2019,
mp-254,7.6262,8.407,,,,,7.8076,
mp-256,0.11019999999999984,,,,,,,
mp-267,0.3194999999999997,0.339,,,0.49700000000000005,,,
mp-277,1.2735999999999992,1.171,,,,,,
mp-282,0.4421999999999997,0.9239999999999988,,,,,0.8036,
mp-286,2.0325,1.973,,,,3.4960000000000004,2.0524,
mp-288,0.4714,0.4239999999999989,0.8985,2.12418,0.856,,0.4351,
mp-294,1.8868,,,,,,,
mp-304,0.3117000000000001,0.504,0.3218,1.34679,0.314,,,
mp-306,6.3387,6.683,6.2956,9.39947,,,,
mp-315,4.44,4.4910000000000005,,,,,,
mp-322,0.8068,,,,,,,
mp-323,4.8554,5.792999999999998,,,,,,6.6
mp-334,6.0222,6.85,,,,,,
mp-341,2.0001,2.093,,,,3.0198,1.8493,
mp-343,0.4124999999999997,,,,,,,
mp-344,3.5021000000000004,3.3510000000000004,3.5412,5.68654,,5.2395,3.7062,
mp-352,4.0684,4.29,4.0163,6.326969999999998,4.01,5.6636,4.1231,
mp-358,0.4918999999999998,0.34700000000000003,0.255,1.25674,,,,
mp-361,0.5126999999999997,0.87,0.6532,1.79351,,0.4878,0.6439,
mp-365,0.3650000000000002,0.505,,,,,,
mp-368,3.8533,3.26,,,,,3.8195,
mp-370,0.3682999999999996,0.3720000000000001,0.4117,1.46797,,1.6542,0.3061,2.582
mp-375,1.6463,2.391,,,,,0.54,
mp-380,1.2003,1.5590000000000002,,,,2.6693,1.2554,
mp-382,0.28190000000000026,,,,,,,
mp-383,1.3724999999999998,,1.3785,2.77122,,3.1413,1.8822,
mp-384,0.6672000000000002,0.5920000000000001,0.6833,1.83409,,1.0219,0.5946,
mp-390,2.0625,1.955,,,2.319,2.4742,2.0233,
mp-401,1.0676,,,,,1.4952,0.9802,
mp-402,1.5290000000000001,1.5119999999999998,1.4674,2.89106,,,,
mp-406,1.2285,0.8740000000000001,0.7091,1.86887,,1.6399,0.498,1.594
mp-408,0.25050000000000017,,,,,0.5764,0.2992,0.69
mp-409,1.2040000000000002,0.889,0.8599,2.07215,,,,
mp-415,0.3840000000000003,0.484,0.2211,1.21104,,,0.4663,
mp-419,0.1059000000000001,0.227,,,,,,
mp-422,3.2356,,3.1433,5.15017,,4.3762,3.3955,
mp-430,2.2317,2.056,,,2.85,2.5985,2.2329,
mp-438,0.7604000000000002,0.925,0.7643,1.94328,,,,
mp-441,1.8947,,1.892,3.46342,,3.439,1.8872,4.5
mp-463,6.0694,,,,,,6.4609,9.61
mp-466,0.15510000000000002,0.833,,,,,,
mp-467,1.668,1.594,,,,,,
mp-468,7.7239,9.696,7.6418,11.2141,,11.0135,8.2402,
mp-470,1.9072,1.906,1.1859,2.51159,1.1059999999999999,3.0346,1.3661,
mp-471,0.19320000000000004,0.35200000000000004,,,,,,
mp-473,1.9682,,,,,,,
mp-476,1.9272,2.287,1.848,3.4041,,3.0882,1.9982,
mp-484,0.5811000000000002,0.550999999999999,,,,,0.4689,
mp-486,0.5831,0.457,0.6698,1.81589,,0.3766,0.4920000000000001,
mp-487,0.4511000000000003,0.4970000000000001,,,,0.4116,0.4806,
mp-502,2.0069,1.7380000000000002,1.9759,3.57651,,2.4695,1.5908,
mp-524,1.1757,1.271,,,,,,
