material_id,MP_sg,OQMD_sg,AFLOW_sg_orig,AFLOW_sg_relax
mvc-12905,87,,,
mp-7,148,148,148,148
mp-14,152,,152,152
mp-19,152,,152,152
mp-24,206,,206,206
mp-25,205,205,205,205
mp-47,194,,194,194
mp-66,227,,227,227
mp-77,70,70,70,70
mp-83,14,14,,
mp-96,13,13,13,13
mp-111,225,225,225,225
mp-118,2,2,2,2
mp-137,96,96,96,96
mp-147,148,148,148,148
mp-149,227,227,227,227
mp-154,198,198,198,198
mp-157,64,64,69,123
mp-160,166,,166,166
mp-165,194,194,194,194
mp-169,166,,166,166
mp-181,119,119,,
mp-189,198,198,,
mp-200,14,14,14,14
mp-209,70,,,
mp-216,206,206,,
mp-218,206,206,,
mp-223,154,154,154,154
mp-224,194,194,,
mp-226,205,205,205,205
mp-230,33,33,,
mp-236,14,,,
mp-239,113,113,113,113
mp-241,225,225,225,225
mp-243,142,142,,
mp-252,216,,216,216
mp-254,165,165,,
mp-256,225,,225,225
mp-267,58,58,,
mp-277,62,62,,
mp-282,225,225,,
mp-286,225,225,,
mp-288,131,131,131,131
mp-294,141,,,
mp-304,62,62,62,62
mp-306,152,152,144,152
mp-315,225,225,,
mp-322,140,,,
mp-323,139,139,,
mp-334,185,185,,
mp-341,139,139,,
mp-343,225,,,
mp-344,9,9,9,9
mp-352,14,14,14,14
mp-358,152,152,152,152
mp-361,224,224,224,224
mp-365,62,62,,
mp-368,11,11,,
mp-370,225,225,225,225
mp-375,221,221,,
mp-380,186,186,,
mp-382,220,,,
mp-383,194,,194,194
mp-384,14,14,14,14
mp-390,141,141,,
mp-401,70,,,
mp-402,33,33,33,33
mp-406,216,216,216,216
mp-408,225,,,
mp-409,189,38,189,189
mp-415,14,14,14,14
mp-419,221,221,,
mp-422,216,,216,216
mp-430,14,14,,
mp-438,62,62,62,62
mp-441,225,,225,225
mp-463,225,,,
mp-466,229,229,,
mp-467,166,166,,
mp-468,167,167,2,167
mp-470,136,136,136,136
mp-471,98,98,,
mp-473,60,,,
mp-476,227,227,227,227
mp-484,12,12,,
mp-486,15,15,15,15
mp-487,2,2,2,12
mp-502,11,11,11,11
mp-524,14,14,,
mp-539,9,9,9,9
mp-552,220,220,,
mp-557,92,92,,
mp-563,227,227,227,227
mp-588,167,167,,
mp-602,194,194,,
mp-604,15,15,15,15
mp-612,15,15,15,15
mp-617,164,164,,
mp-624,166,166,,
mp-634,152,,152,152
mp-641,14,14,,
mp-643,225,,,
mp-644,87,,87,87
