material_id,full_formula,icsd_ids,band_gap,spacegroup,pretty_formula
mp-680577,K4Ga8Cl28,[12],4.5052,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pna2_1', 'number': 33, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2n'}",KGa2Cl7
mp-27529,P2I6,[311],2.3551,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3', 'number': 173, 'point_group': '6', 'crystal_system': 'hexagonal', 'hall': 'P 6c'}",PI3
mp-23515,K24Co12Cl48,"[419658, 419685, 660, 71303]",0.7890999999999999,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pna2_1', 'number': 33, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2n'}",K2CoCl4
mp-683945,K8Er24F80,[1658],7.0219,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cm', 'number': 8, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2y'}",KEr3F10
mp-27755,K4Al4Cl16,[1704],5.2915,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1', 'number': 4, 'point_group': '2', 'crystal_system': 'monoclinic', 'hall': 'P 2yb'}",KAlCl4
mp-580941,Ag4I4,[1899],1.3759,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3mc', 'number': 186, 'point_group': '6mm', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2c'}",AgI
mp-721303,Li4Be4H20N8F16,"[14277, 1903]",5.6926000000000005,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pna2_1', 'number': 33, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2n'}",LiBeH5(NF2)2
mp-632296,H2F2,"[1940, 1941]",6.7187,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmc2_1', 'number': 36, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'C 2c -2'}",HF
mp-27573,Na2Sb6F20,[1968],4.9964,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3', 'number': 173, 'point_group': '6', 'crystal_system': 'hexagonal', 'hall': 'P 6c'}",NaSb3F10
mp-571636,In2Cl2,[2432],1.7157,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmc2_1', 'number': 36, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'C 2c -2'}",InCl
mp-27181,K4Au4Cl16,[2607],1.4257,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pc', 'number': 7, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'P -2yc'}",KAuCl4
mp-6253,K2Li2Be2F8,[2939],6.8545,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3', 'number': 173, 'point_group': '6', 'crystal_system': 'hexagonal', 'hall': 'P 6c'}",KLiBeF4
mp-27209,K6Tl6F24,[4046],2.3213,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3_1', 'number': 144, 'point_group': '3', 'crystal_system': 'trigonal', 'hall': 'P 31'}",KTlF4
mp-1191979,Rb4Tl4F16,[4047],2.7449,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pca2_1', 'number': 29, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2ac'}",RbTlF4
mp-540574,Cs2Hg3I8,[4074],1.9987,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cm', 'number': 8, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2y'}",Cs2Hg3I8
mp-571225,Cd7I14,"[9024, 42259]",2.4733,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-571091,Cd7I14,"[42212, 9191]",2.4211,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-571514,Cd8I16,"[42215, 9192]",2.4225,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-571539,Cd8I16,"[9193, 42200]",2.4222,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-571567,Cd8I16,"[9194, 42260]",2.4658,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-571595,Cd10I20,"[42223, 9195]",2.3941,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-567594,Cs4Hg2I8,"[195509, 9361]",2.066,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1', 'number': 4, 'point_group': '2', 'crystal_system': 'monoclinic', 'hall': 'P 2yb'}",Cs2HgI4
mp-706611,Li4Be4H16N4F16,[9433],6.5775,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pca2_1', 'number': 29, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2ac'}",LiBeH4NF4
mp-560008,P2N2F4,[9684],5.6193,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmc2_1', 'number': 36, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'C 2c -2'}",PNF2
mp-558134,Tl2F2,[9873],3.0179000000000005,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Aem2', 'number': 39, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'A 2 -2c'}",TlF
mp-555463,Rb2Th6F26,"[9915, 262187]",6.4571999999999985,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pmc2_1', 'number': 26, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2'}",RbTh3F13
mp-27344,Be8B16H64,"[10315, 161366]",6.1876,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4_1cd', 'number': 110, 'point_group': '4mm', 'crystal_system': 'tetragonal', 'hall': 'I 4bw -2c'}",Be(BH4)2
mp-27390,K10Th2F18,[14127],5.9743,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmc2_1', 'number': 36, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'C 2c -2'}",K5ThF9
mp-23045,B3N3Cl6,"[28168, 27255, 14276]",2.8691,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R3', 'number': 146, 'point_group': '3', 'crystal_system': 'trigonal', 'hall': 'R 3'}",BNCl2
mp-23794,H8N2F2,"[65693, 14294, 65694, 23765, 23766]",5.959200000000001,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3mc', 'number': 186, 'point_group': '6mm', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2c'}",H4NF
mp-27411,Tl4P20,[15021],1.4193999999999996,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pmc2_1', 'number': 26, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2c -2'}",TlP5
mp-570263,Cd9I18,[15381],2.4514,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P3m1', 'number': 156, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'P 3 -2""'}",CdI2
mp-22894,Ag2I2,"[200104, 79677, 63655, 62789, 31054, 65063, 62790, 62792, 200102, 15589, 200103, 62791, 161580, 56553, 79678, 27845]",1.3955,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3mc', 'number': 186, 'point_group': '6mm', 'crystal_system': 'hexagonal', 'hall': 'P 6c -2c'}",AgI
