,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob,MP BG
0,mvc-12905,Fe4O8,FeO2,1.0,0.6192607520841513,1.0,0.9696969696969697,1.0,0.8052964892745823,1.0,0.8654252990540677,1.269
1,mp-14,Se3,Se,1.0,0.9999501255799151,1.0,0.7583333333333333,1.0,0.773990385761274,1.0,0.9793696625429521,1.0119000000000002
2,mp-19,Te3,Te,1.0,0.9971492558963707,1.0,0.9772727272727273,1.0,0.7302512466192574,1.0,0.9568667297110348,0.5751999999999997
3,mp-24,C8,C,1.0,0.9999999848195487,1.0,0.7583333333333333,1.0,0.7404149030322319,1.0,0.907523472351282,2.778500000000001
4,mp-137,Ge12,Ge,1.0,0.9997946031271686,1.0,0.9772727272727273,1.0,0.7816820575713324,1.0,0.8046246593518558,0.8732000000000002
5,mp-149,Si2,Si,1.0,0.9999950266693259,1.0,0.7583333333333333,1.0,0.8208623072872908,1.0,0.9760408620352804,0.8526999999999996
6,mp-157,P4,P,1.0,0.999994020490472,1.0,0.9696969696969697,1.0,0.8644961530499573,1.0,0.9925496396662533,0.11509999999999998
7,mp-165,Si4,Si,1.0,0.9999678517811466,1.0,0.7583333333333333,1.0,0.807816933914603,1.0,0.9692122475730142,0.5139000000000005
9,mp-189,Si4Ru4,SiRu,1.0,0.9987752243593052,1.0,0.9772727272727273,1.0,0.7144160367798306,1.0,0.8910985821369375,0.2540999999999993
10,mp-200,La4P28,LaP7,1.0,0.9999279940270719,1.0,0.946236559139785,1.0,0.7488266529699148,1.0,0.763495901405956,0.8723000000000001
11,mp-209,Er8Se12,Er2Se3,1.0,0.9999999706160885,1.0,0.696969696969697,1.0,0.7978279940097128,1.0,0.9715390417659481,1.3585999999999998
12,mp-216,Sc16O24,Sc2O3,1.0,0.9999991083533778,1.0,1.0,1.0,0.8256811126635241,1.0,0.8204560013357268,3.814
13,mp-226,Fe4S8,FeS2,1.0,0.9818893006736525,1.0,0.896551724137931,1.0,0.8969878736579479,1.0,0.9901800168768045,0.45730000000000004
15,mp-236,S4N4,SN,1.0,0.999998940998929,1.0,0.9539748953974896,1.0,0.8777415190371559,1.0,0.9816703369370783,2.9471000000000003
16,mp-241,Cd1F2,CdF2,1.0,0.999999173663487,1.0,0.9539748953974896,1.0,0.8900700351841637,1.0,0.991457304700552,3.0701
17,mp-243,K8C8,KC,1.0,0.9999978388585035,1.0,0.9772727272727273,1.0,0.6409413036717999,1.0,0.794620632609336,3.3007
18,mp-252,Be1Te1,BeTe,1.0,0.9986793521369106,1.0,0.7583333333333333,1.0,0.7804866130016772,1.0,0.9554624431114535,2.2113000000000005
19,mp-254,Nd6F18,NdF3,1.0,0.9999821753990801,1.0,0.7777777777777778,1.0,0.7217696300361234,1.0,0.7502956268062714,7.6262
20,mp-256,La1N1,LaN,1.0,0.9999999903039013,1.0,1.0,1.0,0.8272781501262401,1.0,0.9226614838564511,0.11019999999999985
22,mp-277,Zr12N16,Zr3N4,1.0,0.9994527993017486,1.0,0.9879518072289156,1.0,0.8937985859767633,1.0,0.9641563330790438,1.2735999999999992
23,mp-282,Ti1F2,TiF2,1.0,0.9360100855835938,1.0,0.9539748953974896,1.0,0.8376306731902134,1.0,0.9900968088913182,0.4421999999999997
26,mp-315,Pb1F2,PbF2,1.0,0.9999999968325703,1.0,0.8125,1.0,0.7969253661383146,1.0,0.9786148195224248,4.44
