,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
1,mp-7,S6,S,1.0,0.9898060292843932,1.0,1.0,1.0,0.93,1.0,0.999970806107727
2,mp-14,Se3,Se,1.0,0.9977526653419084,1.0,1.0,1.0,0.97,1.0,0.999970806107727
3,mp-19,Te3,Te,1.0,0.9979694711459713,1.0,1.0,1.0,0.95,1.0,0.999970806107727
8,mp-111,Ne1,Ne,1.0,0.9857341244885751,1.0,1.0,1.0,0.949655870445344,1.0,0.999970806107727
10,mp-137,Ge12,Ge,1.0,0.9972510892609476,1.0,1.0,1.0,0.9197435897435898,1.0,0.999970806107727
11,mp-147,Se6,Se,1.0,0.9943515063060276,1.0,1.0,1.0,0.93,1.0,0.999970806107727
13,mp-157,P4,P,1.0,0.9937453621372121,1.0,1.0,1.0,0.998076923076923,1.0,0.999970806107727
16,mp-189,Si4Ru4,SiRu,1.0,0.9517955245084821,1.0,1.0,1.0,0.9513225371120109,1.0,0.999970806107727
28,mp-252,Be1Te1,BeTe,1.0,0.9707727486952323,1.0,0.625,1.0,0.8759935897435898,1.0,0.999970806107727
34,mp-286,Yb1Se1,YbSe,1.0,0.855160453004758,1.0,0.625,1.0,0.82,1.0,0.999970806107727
35,mp-288,Pt2S2,PtS,1.0,0.6275780148465356,1.0,1.0,1.0,0.5289956140350877,1.0,0.8691802453936546
45,mp-344,B4N4,BN,1.0,0.7688636346677828,1.0,1.0,1.0,0.6495000000000001,1.0,0.999970806107727
47,mp-358,Hg3Te3,HgTe,1.0,0.9350419113640278,1.0,1.0,1.0,0.8375789473684211,1.0,0.999970806107727
48,mp-361,Cu4O2,Cu2O,1.0,0.5267348336097476,1.0,0.625,1.0,0.5390249180643917,1.0,0.6951502689813632
53,mp-383,Rb4Te2,Rb2Te,1.0,0.7122739225253234,1.0,0.625,1.0,0.5136666666666666,1.0,0.9630988868125224
57,mp-402,Cd4P8,CdP2,1.0,0.8155477552458071,1.0,1.0,1.0,0.6792435897435897,1.0,0.999970806107727
58,mp-406,Cd1Te1,CdTe,1.0,0.9976531426595491,1.0,1.0,1.0,0.96,1.0,0.999970806107727
63,mp-422,Be1S1,BeS,1.0,0.93304270254044,1.0,0.625,1.0,0.9697435897435897,1.0,0.999970806107727
66,mp-441,Rb2Te1,Rb2Te,1.0,0.6743692646832846,1.0,0.625,1.0,0.5511666666666667,1.0,0.9630988868125224
72,mp-471,Cd2As4,CdAs2,1.0,0.9526738206532029,1.0,1.0,1.0,0.8087272990167728,1.0,0.999970806107727
83,mp-563,C6N8,C3N4,1.0,0.753816763702757,1.0,1.0,1.0,0.6,1.0,0.999970806107727
90,mp-634,Hg3S3,HgS,1.0,0.5938181826617857,1.0,1.0,1.0,0.6274166666666667,1.0,0.999970806107727
95,mp-665,Sn1Se2,SnSe2,1.0,0.8626371041418539,1.0,1.0,1.0,0.7386666666666667,1.0,0.999970806107727
101,mp-691,Sn4Se4,SnSe,1.0,0.8781649494777185,1.0,1.0,1.0,0.6999047619047619,1.0,0.8793587738392741
103,mp-700,Ge4Se4,GeSe,1.0,0.8880221412260998,1.0,1.0,1.0,0.7362272990167728,1.0,0.999970806107727
109,mp-730,P8Pt4,P2Pt,0.0,0.4821916698327503,1.0,1.0,1.0,0.5589956140350876,1.0,0.8691802453936546
117,mp-766,As4Ru2,As2Ru,1.0,0.8644371850052811,1.0,1.0,1.0,0.6119729130518604,1.0,0.8793587738392741
119,mp-820,Hg1Se1,HgSe,1.0,0.9893139026460699,1.0,1.0,1.0,0.94,1.0,0.999970806107727
127,mp-871,Fe4Si4,FeSi,1.0,0.9823386088077667,1.0,1.0,1.0,0.9513225371120109,1.0,0.999970806107727
133,mp-913,Cd8P16,CdP2,1.0,0.8024950650036264,1.0,1.0,1.0,0.6471602564102565,1.0,0.999970806107727
136,mp-938,Ge1Te1,GeTe,1.0,0.9741909731577936,1.0,1.0,1.0,0.9415789473684211,1.0,0.999970806107727
137,mp-947,Au4S2,Au2S,1.0,0.7644871544568874,1.0,1.0,1.0,0.6588333333333334,1.0,0.999970806107727
145,mp-1000,Ba1Te1,BaTe,1.0,0.9511945986126782,1.0,0.625,1.0,0.81,1.0,0.999970806107727
148,mp-1039,Mg2Te2,MgTe,1.0,0.9851813603412697,1.0,1.0,1.0,0.9840000000000001,1.0,0.999970806107727
152,mp-1070,Cd2Se2,CdSe,1.0,0.9922149516806461,1.0,1.0,1.0,0.99,1.0,0.999970806107727
156,mp-1102,Lu1N1,LuN,1.0,0.5369645409394775,1.0,0.625,1.0,0.5733690476190476,1.0,0.9310938693839974
166,mp-1156,Ga1Sb1,GaSb,1.0,0.9971238557146975,1.0,1.0,1.0,0.9897435897435898,1.0,0.999970806107727
172,mp-1201,Sb2Te3,Sb2Te3,1.0,0.9305370815237284,1.0,1.0,1.0,0.6930000000000001,1.0,0.8793587738392741
175,mp-1222,Cr3Si6,CrSi2,1.0,0.9579438004395087,1.0,1.0,1.0,0.9089892037786774,1.0,0.9531896429710104
183,mp-1265,Mg1O1,MgO,1.0,0.6077521116910075,1.0,0.625,1.0,0.7458690476190476,1.0,0.999970806107727
191,mp-1315,Mg1S1,MgS,1.0,0.9171542811013008,1.0,0.625,1.0,0.8375,1.0,0.999970806107727
194,mp-1340,Ga4Se6,Ga2Se3,1.0,0.8574127708742416,1.0,1.0,1.0,0.8183333333333332,1.0,0.999970806107727
197,mp-1346,B12O2,B6O,1.0,0.6803867696154039,1.0,1.0,1.0,0.602,1.0,0.999970806107727
199,mp-1367,Mg2Si1,Mg2Si,1.0,0.8090525402537895,1.0,0.625,1.0,0.5387272990167726,1.0,0.6951502689813632
202,mp-1379,Sn2S2,SnS,1.0,0.9119222787823202,1.0,1.0,1.0,0.7599047619047619,1.0,0.999970806107727
218,mp-1479,B1P1,BP,1.0,0.9795662713515084,1.0,0.625,1.0,0.9573729572800781,1.0,0.999970806107727
222,mp-1519,Ca1Te1,CaTe,1.0,0.919618709500851,1.0,0.625,1.0,0.8,1.0,0.999970806107727
225,mp-1541,Be1Se1,BeSe,1.0,0.9326468044513733,1.0,0.625,1.0,0.9585916289592759,1.0,0.999970806107727
230,mp-1569,Be2C1,Be2C,0.0,0.4637795053709221,1.0,1.0,1.0,0.6042857142857143,1.0,0.9539270089142129
231,mp-1572,Ga4Se4,GaSe,1.0,0.8659843450672254,1.0,1.0,1.0,0.8083333333333332,1.0,0.999970806107727
239,mp-1599,B4N4,BN,0.0,0.1373276699497217,1.0,1.0,1.0,0.61,1.0,0.999970806107727
