,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob,MP BG
1,mp-7,S6,S,1.0,0.9952743918756956,1.0,1.0,1.0,0.6575544871794871,1.0,0.999970806107727,2.4880999999999998
2,mp-14,Se3,Se,1.0,0.9998169281507742,1.0,1.0,1.0,0.8303532889224066,1.0,0.999970806107727,1.0119000000000002
3,mp-19,Te3,Te,1.0,0.9998396192691879,1.0,1.0,1.0,0.8183237179487179,1.0,0.999970806107727,0.5751999999999997
4,mp-25,N8,N2,1.0,0.9966862850851658,1.0,1.0,1.0,0.5407029994728564,1.0,0.999970806107727,7.4563999999999995
8,mp-111,Ne1,Ne,1.0,0.9999998086377893,1.0,1.0,1.0,0.7968331125988432,1.0,0.999970806107727,11.8025
10,mp-137,Ge12,Ge,1.0,0.9996771427103815,1.0,1.0,1.0,0.7929227179620334,1.0,0.999970806107727,0.8732000000000002
11,mp-147,Se6,Se,1.0,0.9964572051882306,1.0,1.0,1.0,0.7592522893772893,1.0,0.999970806107727,1.5760999999999998
12,mp-154,N8,N2,1.0,0.9932394023584655,1.0,1.0,1.0,0.5707029994728564,1.0,0.999970806107727,7.4649
13,mp-157,P4,P,1.0,0.9993739615882574,1.0,1.0,1.0,0.8886963594581521,1.0,0.999970806107727,0.11509999999999998
14,mp-160,B12,B,1.0,0.9854818731641586,1.0,1.0,1.0,0.7127855942973867,1.0,0.999970806107727,1.5219000000000005
16,mp-189,Si4Ru4,SiRu,1.0,0.7802751393219262,1.0,1.0,1.0,0.8043821555832358,1.0,0.999970806107727,0.2540999999999993
28,mp-252,Be1Te1,BeTe,1.0,0.996548786505669,1.0,1.0,1.0,0.8697370077181306,1.0,0.999970806107727,2.2113000000000005
34,mp-286,Yb1Se1,YbSe,1.0,0.8162418130862831,1.0,1.0,1.0,0.7977505656108598,1.0,0.999970806107727,2.0324999999999998
45,mp-344,B4N4,BN,1.0,0.5827690605166349,1.0,1.0,1.0,0.7185349748071169,1.0,0.999970806107727,3.5021000000000004
47,mp-358,Hg3Te3,HgTe,1.0,0.9964721316979296,1.0,1.0,1.0,0.6258796927914853,1.0,0.999970806107727,0.4918999999999998
48,mp-361,Cu4O2,Cu2O,1.0,0.734801282584912,1.0,1.0,1.0,0.630250207914335,1.0,0.999970806107727,0.5126999999999997
58,mp-406,Cd1Te1,CdTe,1.0,0.9999119004954508,1.0,1.0,1.0,0.790099568345708,1.0,0.999970806107727,1.2285
59,mp-408,Mg2Ge1,Mg2Ge,1.0,0.983079414247217,1.0,1.0,1.0,0.6346903918050749,1.0,0.999970806107727,0.25050000000000017
85,mp-602,Te4Mo2,Te2Mo,1.0,0.9884894386372172,1.0,1.0,1.0,0.699375,1.0,0.8805134540276066,1.1197
90,mp-634,Hg3S3,HgS,1.0,0.988554316213214,1.0,1.0,1.0,0.6898960838992104,1.0,0.999970806107727,1.7241
95,mp-665,Sn1Se2,SnSe2,1.0,0.9988912467699731,1.0,1.0,1.0,0.682923717948718,1.0,0.999970806107727,0.8000000000000003
109,mp-730,P8Pt4,P2Pt,1.0,0.9281731763504378,1.0,1.0,1.0,0.5232856151405745,1.0,0.62847299188284,1.1258
119,mp-820,Hg1Se1,HgSe,1.0,0.9998600642435388,1.0,1.0,1.0,0.7593175311105734,1.0,0.999970806107727,0.12360000000000004
127,mp-871,Fe4Si4,FeSi,1.0,0.9968526992078576,1.0,1.0,1.0,0.7949836739718746,1.0,0.999970806107727,0.16639999999999944
133,mp-913,Cd8P16,CdP2,1.0,0.8406285791050748,1.0,1.0,1.0,0.5843905216344569,1.0,0.999970806107727,1.5931000000000002
136,mp-938,Ge1Te1,GeTe,1.0,0.9998547130387941,1.0,1.0,1.0,0.8349660010158954,1.0,0.999970806107727,0.8215000000000003
137,mp-947,Au4S2,Au2S,1.0,0.9522926065010395,1.0,1.0,1.0,0.6314596683714607,1.0,0.999970806107727,1.9091
145,mp-1000,Ba1Te1,BaTe,1.0,0.813924357526619,1.0,1.0,1.0,0.7675544871794873,1.0,0.999970806107727,1.8555
148,mp-1039,Mg2Te2,MgTe,1.0,0.9972439767974832,1.0,1.0,1.0,0.9275502333212394,1.0,0.999970806107727,2.3619999999999997
152,mp-1070,Cd2Se2,CdSe,1.0,0.9995573041442319,1.0,1.0,1.0,0.9227813217488239,1.0,0.999970806107727,0.5589
166,mp-1156,Ga1Sb1,GaSb,1.0,0.9999787101988896,1.0,1.0,1.0,0.9402443716561868,1.0,0.999970806107727,0.36549999999999994
175,mp-1222,Cr3Si6,CrSi2,1.0,0.999349045491186,1.0,1.0,1.0,0.8132903918050748,1.0,0.999970806107727,0.3863000000000003
183,mp-1265,Mg1O1,MgO,1.0,0.7401830216145849,1.0,1.0,1.0,0.747369598254948,1.0,0.938359339555831,4.638
191,mp-1315,Mg1S1,MgS,1.0,0.9609774577868101,1.0,1.0,1.0,0.7921950100553041,1.0,0.999970806107727,2.9642
218,mp-1479,B1P1,BP,1.0,0.9979160539549048,1.0,1.0,1.0,0.8200423048877145,1.0,0.999970806107727,1.4661999999999997
222,mp-1519,Ca1Te1,CaTe,1.0,0.9708261492306378,1.0,1.0,1.0,0.7275544871794872,1.0,0.999970806107727,1.6040999999999999
225,mp-1541,Be1Se1,BeSe,1.0,0.9894984593110482,1.0,1.0,1.0,0.8502194093298671,1.0,0.999970806107727,2.8976
230,mp-1569,Be2C1,Be2C,1.0,0.88373506673182,1.0,1.0,1.0,0.8018453196347033,1.0,0.999970806107727,1.4432999999999998
231,mp-1572,Ga4Se4,GaSe,1.0,0.989588600491256,1.0,1.0,1.0,0.6506019069045911,1.0,0.999970806107727,1.2567000000000002
242,mp-1639,B1N1,BN,1.0,0.999845548290781,1.0,1.0,1.0,0.8978021286889212,1.0,0.999970806107727,4.6482
248,mp-1714,Fe8Si16,FeSi2,1.0,0.9888164440544664,1.0,1.0,1.0,0.5908918026491486,1.0,0.999970806107727,0.6975999999999996
260,mp-1778,Be1O1,BeO,1.0,0.9673181870401132,1.0,1.0,1.0,0.7892954368293716,1.0,0.9942250220101878,6.9752
261,mp-1779,Yb1Te1,YbTe,1.0,0.9966155956414475,1.0,1.0,1.0,0.7476462302987532,1.0,0.999970806107727,1.5272999999999999
264,mp-1794,Be1O1,BeO,1.0,0.9948765601496754,1.0,1.0,1.0,0.68,1.0,0.9998893314943815,8.2675
268,mp-1820,Yb1S1,YbS,1.0,0.6598595140010729,1.0,1.0,1.0,0.7392890271493213,1.0,0.999970806107727,2.444
271,mp-1848,Te8Ru4,Te2Ru,1.0,0.8178453546875972,1.0,1.0,1.0,0.5338525255143179,1.0,0.999970806107727,0.14100000000000001
279,mp-1876,Sn1S1,SnS,1.0,0.9954346062030148,1.0,1.0,1.0,0.8548793457671627,1.0,0.999970806107727,0.9549000000000003
281,mp-1883,Sn1Te1,SnTe,1.0,0.999940854671674,1.0,1.0,1.0,0.8116462302987533,1.0,0.999970806107727,0.6623999999999999
286,mp-1943,Ga4Se4,GaSe,1.0,0.9965866882946883,1.0,1.0,1.0,0.7473890217505296,1.0,0.999970806107727,1.2476999999999998
289,mp-1958,Sr1Te1,SrTe,1.0,0.8043750486187023,1.0,1.0,1.0,0.7075544871794872,1.0,0.999970806107727,2.0435000000000003
293,mp-1985,C6N8,C3N4,1.0,0.969519100900968,1.0,1.0,1.0,0.55,1.0,0.999970806107727,3.341000000000001
296,mp-2008,Fe2As4,FeAs2,1.0,0.994752969491736,1.0,1.0,1.0,0.7186197568844398,1.0,0.999970806107727,0.28550000000000075
316,mp-2142,Te8Os4,Te2Os,1.0,0.9600856252808175,1.0,1.0,1.0,0.5992389418757343,1.0,0.999970806107727,0.5230999999999995
323,mp-2201,Pb1Se1,PbSe,1.0,0.9973068865082694,1.0,1.0,1.0,0.7998207372765969,1.0,0.999970806107727,0.9081000000000001
338,mp-2319,P4Os2,P2Os,1.0,0.8986978837276732,1.0,1.0,1.0,0.6282150552508893,1.0,0.999970806107727,0.8560999999999996
354,mp-2455,As4Os2,As2Os,1.0,0.981927153567649,1.0,1.0,1.0,0.6980280137651738,1.0,0.999970806107727,0.7559999999999993
360,mp-2488,Si4Os4,SiOs,1.0,0.9307322845282966,1.0,1.0,1.0,0.8051438958905054,1.0,0.999970806107727,0.6209000000000007
363,mp-2513,As8Pt4,As2Pt,1.0,0.9814617533427085,1.0,1.0,1.0,0.585280608542401,1.0,0.999970806107727,0.28500000000000014
367,mp-2542,Be2O2,BeO,1.0,0.9787824960062197,1.0,1.0,1.0,0.78,1.0,0.999970806107727,7.463099999999999
374,mp-2600,Ba1Te1,BaTe,1.0,0.723157158118545,1.0,1.0,1.0,0.7626462302987532,1.0,0.999970806107727,1.7263000000000002
377,mp-2612,Ge1Te1,GeTe,1.0,0.9768509576326634,1.0,1.0,1.0,0.8804992835362205,1.0,0.999970806107727,0.6197999999999997
378,mp-2624,Al1Sb1,AlSb,1.0,0.9999040126204194,1.0,1.0,1.0,0.9219146502939579,1.0,0.999970806107727,1.2605000000000004
386,mp-2653,B2N2,BN,1.0,0.9999428567445803,1.0,1.0,1.0,0.8286287701627049,1.0,0.999970806107727,5.363
389,mp-2667,Cs1Au1,CsAu,1.0,0.992167442678572,1.0,1.0,1.0,0.7431224207749437,1.0,0.999970806107727,1.9857
391,mp-2691,Cd1Se1,CdSe,1.0,0.9999301255920613,1.0,1.0,1.0,0.9826295984006042,1.0,0.999970806107727,0.5095
392,mp-2693,Sn1Se1,SnSe,1.0,0.9915556451245094,1.0,1.0,1.0,0.8372884560714318,1.0,0.999970806107727,0.8203000000000005
393,mp-2695,Sb4Os2,Sb2Os,1.0,0.9940234488448894,1.0,1.0,1.0,0.6353604620222544,1.0,0.999970806107727,0.40390000000000015
396,mp-2715,Co4As8,CoAs2,1.0,0.9204195683689156,1.0,1.0,1.0,0.6348375148209479,1.0,0.999970806107727,0.17100000000000026
454,mp-3019,Tl8Sn2Te6,Tl4SnTe3,1.0,0.9875943874661496,1.0,1.0,1.0,0.5491845238095238,1.0,0.999970806107727,0.37429999999999986
571,mp-3432,Sc1Ni1Sb1,ScNiSb,1.0,0.9542118501808486,1.0,1.0,1.0,0.5313851414998245,1.0,0.999970806107727,0.3161000000000005
619,mp-3595,Zn2Si2As4,ZnSiAs2,1.0,0.9625416388795154,1.0,1.0,1.0,0.8120512179642709,1.0,0.999970806107727,0.8902000000000001
647,mp-3716,Tb1Ni1Sb1,TbNiSb,1.0,0.9359346863631901,1.0,1.0,1.0,0.6530767783992326,1.0,0.999970806107727,0.3841999999999999
667,mp-3772,Cd1Ga2Se4,Cd(GaSe2)2,1.0,0.6103660101604079,1.0,1.0,1.0,0.6646466293096823,1.0,0.999970806107727,1.3487
685,mp-3829,Cd2Sn2As4,CdSnAs2,1.0,0.9996080549095546,1.0,1.0,1.0,0.9377256466752626,1.0,0.999970806107727,0.3094000000000001
743,mp-4008,Zn2Ge2As4,ZnGeAs2,1.0,0.9995009991422947,1.0,1.0,1.0,0.9473903631288614,1.0,0.999970806107727,0.5678999999999998
748,mp-4025,Tm1Ni1Sb1,TmNiSb,1.0,0.9422483513143205,1.0,1.0,1.0,0.6619314313715328,1.0,0.999970806107727,0.3138000000000005
