,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
7,mp-111,Ne1,Ne,1.0,0.9997487479494664,1.0,0.9594594594594594,1.0,0.7002298013175828,1.0,0.95190669078009
10,mp-147,Se6,Se,1.0,0.5739683177822256,1.0,0.9594594594594594,1.0,0.5845727999120808,1.0,0.9454124828257877
15,mp-189,Si4Ru4,SiRu,1.0,0.6048356486932874,1.0,0.9594594594594594,1.0,0.6931179839628767,1.0,0.9805151682316625
27,mp-252,Be1Te1,BeTe,1.0,0.8031211160066615,1.0,0.9594594594594594,1.0,0.7763026581196761,1.0,0.9552652919949993
135,mp-938,Ge1Te1,GeTe,1.0,0.5932174901789744,1.0,0.9594594594594594,1.0,0.5303269694447491,1.0,0.8651066279308113
147,mp-1039,Mg2Te2,MgTe,1.0,0.9442223838954114,1.0,0.9594594594594594,1.0,0.7446704313825111,1.0,0.9690699116122446
151,mp-1070,Cd2Se2,CdSe,1.0,0.8649882765908595,1.0,0.9594594594594594,1.0,0.7873964434188138,1.0,0.9784974149621686
165,mp-1156,Ga1Sb1,GaSb,1.0,0.8429405825529732,1.0,0.9594594594594594,1.0,0.6221760590205929,1.0,0.8487760291765619
174,mp-1222,Cr3Si6,CrSi2,1.0,0.8226416094735404,1.0,0.8888888888888888,1.0,0.6506684368598777,1.0,0.7389728967671203
182,mp-1265,Mg1O1,MgO,1.0,0.640126217944575,1.0,0.8888888888888888,1.0,0.6184440513047325,1.0,0.7363198076991577
217,mp-1479,B1P1,BP,1.0,0.938128146106711,1.0,0.9594594594594594,1.0,0.7765690224342748,1.0,0.9891049148450441
224,mp-1541,Be1Se1,BeSe,1.0,0.8733698798857329,1.0,0.9594594594594594,1.0,0.7996456699374613,1.0,0.9780908402063161
229,mp-1569,Be2C1,Be2C,1.0,0.8825239206926621,1.0,0.8888888888888888,1.0,0.6046783871443314,1.0,0.9424231717907539
241,mp-1639,B1N1,BN,1.0,0.9998910698769806,1.0,0.9594594594594594,1.0,0.7778151260504202,1.0,0.9971044252800032
259,mp-1778,Be1O1,BeO,1.0,0.9603343133527539,1.0,0.8888888888888888,1.0,0.6553145383331141,1.0,0.9788526322148632
263,mp-1794,Be1O1,BeO,1.0,0.999494788925306,1.0,0.8888888888888888,1.0,0.7370588992353697,1.0,0.9834371460519865
359,mp-2488,Si4Os4,SiOs,1.0,0.7653170681440556,1.0,0.9594594594594594,1.0,0.584769898174097,1.0,0.9387305445223584
366,mp-2542,Be2O2,BeO,1.0,0.9962136696473821,1.0,0.8888888888888888,1.0,0.6717593267748065,1.0,0.9812918616981905
377,mp-2624,Al1Sb1,AlSb,1.0,0.9023053748544234,1.0,0.9594594594594594,1.0,0.6856702004437405,1.0,0.9868677699866855
385,mp-2653,B2N2,BN,1.0,0.9991066355652187,1.0,0.9594594594594594,1.0,0.7855005897095679,1.0,0.9971527810471457
390,mp-2691,Cd1Se1,CdSe,1.0,0.9030741350049926,1.0,0.9594594594594594,1.0,0.7316212583333379,1.0,0.9727999266004413
412,mp-2852,C6N8,C3N4,1.0,0.9163821359094593,1.0,0.8888888888888888,1.0,0.5485714285714285,1.0,0.6805414255986404
413,mp-2857,Sc1N1,ScN,1.0,0.8933253324815551,1.0,0.8888888888888888,1.0,0.6916820941031814,1.0,0.9394994818039986
683,mp-3829,Cd2Sn2As4,CdSnAs2,1.0,0.8088940309600322,1.0,0.9594594594594594,1.0,0.6726703943562061,1.0,0.9807659607442577
