,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob,MP BG
0,mp-7,S6,S,1.0,0.5986738567692833,0.0,0.4,1.0,0.6471995831925642,1.0,0.9812816351059981,2.4880999999999998
1,mp-14,Se3,Se,1.0,0.8352838607858458,1.0,0.9594594594594594,1.0,0.6294335217819794,0.0,0.4777461008088151,1.0119000000000002
2,mp-19,Te3,Te,1.0,0.789933399376499,1.0,0.9594594594594594,0.0,0.4275308712074745,0.0,0.016642300107940378,0.5751999999999997
3,mp-25,N8,N2,1.0,0.9413489972468142,0.0,0.4,1.0,0.5676839679259034,1.0,0.9795741354727503,7.4563999999999995
4,mp-77,S32,S,1.0,0.560646227432944,0.0,0.01858736059479554,0.0,0.4033333333333334,0.0,0.4709940135667518,2.7125
5,mp-83,S56,S,0.0,0.31072287949161104,0.0,0.01858736059479554,0.0,0.35333333333333333,1.0,0.782621214002129,2.5623
6,mp-96,S32,S,1.0,0.549147163145766,0.0,0.01858736059479554,0.0,0.37333333333333335,0.0,0.4709940135667518,2.7405
7,mp-111,Ne1,Ne,1.0,0.9997487479494664,1.0,0.9594594594594594,1.0,0.7002298013175828,1.0,0.95190669078009,11.8025
8,mp-118,P24,P,0.0,0.42284025532908065,0.0,0.01858736059479554,0.0,0.36083333333333334,1.0,0.6056720845407251,3.7308
9,mp-137,Ge12,Ge,0.0,0.19738918909078576,1.0,0.9594594594594594,0.0,0.3082199960686029,0.0,0.30214168094835725,0.8732000000000002
10,mp-147,Se6,Se,1.0,0.5739683177822256,1.0,0.9594594594594594,1.0,0.5845727999120808,1.0,0.9454124828257877,1.5760999999999998
11,mp-154,N8,N2,1.0,0.9350935997830134,0.0,0.4,1.0,0.5481839679259033,1.0,0.9279077783183759,7.4649
12,mp-157,P4,P,1.0,0.6573113812169381,1.0,0.9594594594594594,0.0,0.4740275346380165,0.0,0.394338590617302,0.11509999999999998
13,mp-160,B12,B,0.0,0.39609766027130705,1.0,0.8888888888888888,1.0,0.6824439826747394,1.0,0.7657189825345359,1.5219000000000005
14,mp-181,K3Ga9,KGa3,0.0,0.005922967602810144,0.0,0.01858736059479554,0.0,0.31393167701863356,1.0,0.9410430365206154,0.6231
15,mp-189,Si4Ru4,SiRu,1.0,0.6048356486932874,1.0,0.9594594594594594,1.0,0.6931179839628767,1.0,0.9805151682316625,0.2540999999999993
21,mp-226,Fe4S8,FeS2,1.0,0.6158714659264617,0.0,0.0,0.0,0.17901903812906828,0.0,0.006552611549663146,0.45730000000000004
27,mp-252,Be1Te1,BeTe,1.0,0.8031211160066615,1.0,0.9594594594594594,1.0,0.7763026581196761,1.0,0.9552652919949993,2.2113000000000005
29,mp-256,La1N1,LaN,0.0,0.25702452548335675,0.0,0.0,0.0,0.44874612953627563,1.0,0.6496518069071273,0.11019999999999985
43,mp-343,Pr1N1,PrN,0.0,0.12396544255862596,0.0,0.0,0.0,0.4544013019500687,1.0,0.8441038831707982,0.41249999999999964
44,mp-344,B4N4,BN,0.0,0.3689080276465494,1.0,0.8888888888888888,1.0,0.6650644994840041,1.0,0.9786661081789214,3.5021000000000004
47,mp-361,Cu4O2,Cu2O,0.0,0.3124154699443218,1.0,0.8888888888888888,0.0,0.34111568062164127,0.0,0.029536610825762744,0.5126999999999997
57,mp-406,Cd1Te1,CdTe,1.0,0.9275817839486732,1.0,1.0,0.0,0.45924147488798317,0.0,0.3467074880744867,1.2285
62,mp-422,Be1S1,BeS,0.0,0.46564907085164775,1.0,0.9594594594594594,1.0,0.5885416241852623,1.0,0.9614093346173074,3.2356
69,mp-468,Al2F6,AlF3,1.0,0.7962203119524262,0.0,0.01858736059479554,0.0,0.10463787375415282,0.0,0.00034285574131163787,7.7239
74,mp-484,Te6As4,Te3As2,0.0,0.11503869610203743,0.0,0.01858736059479554,1.0,0.6506744473916888,1.0,0.9183695471696495,0.5811000000000002
80,mp-552,Th6Sb8,Th3Sb4,0.0,0.03813579679891115,0.0,0.5,1.0,0.5533222495894909,1.0,0.5263160486291896,0.17330000000000023
82,mp-563,C6N8,C3N4,1.0,0.5324733364077833,0.0,0.0,0.0,0.3815,0.0,0.3982614974851022,0.9368999999999996
84,mp-602,Te4Mo2,Te2Mo,1.0,0.6286620146136982,0.0,0.01858736059479554,1.0,0.6640411140583553,1.0,0.9362589609433117,1.1197
88,mp-624,B12As2,B6As,1.0,0.5536717545264808,0.0,0.01858736059479554,0.0,0.2419987919864754,0.0,0.012544699629163998,2.9721
89,mp-634,Hg3S3,HgS,1.0,0.7463335761139779,0.0,0.5,0.0,0.4078932477370337,0.0,0.005177996165595436,1.7241
94,mp-665,Sn1Se2,SnSe2,1.0,0.6670573754661901,0.0,0.5,0.0,0.37571009755388346,0.0,0.005574184409376701,0.8000000000000003
97,mp-682,Na1F1,NaF,1.0,0.8288400094801086,0.0,0.0,0.0,0.33934693997855364,0.0,0.027843520318958162,6.0951
115,mp-762,Pt1S2,PtS2,1.0,0.5453700833570766,0.0,0.01858736059479554,0.0,0.27007373391751993,0.0,0.0019667600363098147,1.4440000000000004
116,mp-766,As4Ru2,As2Ru,0.0,0.11772555151245588,0.0,0.5,1.0,0.5276472776001888,0.0,0.13483751124109,0.5614999999999997
118,mp-820,Hg1Se1,HgSe,1.0,0.8217947646672557,0.0,0.0,1.0,0.5916215217484293,1.0,0.5483231669689529,0.12360000000000004
126,mp-871,Fe4Si4,FeSi,0.0,0.19539043758881955,1.0,0.9594594594594594,0.0,0.4667167416426903,1.0,0.9671820788070268,0.16639999999999944
128,mp-883,Ho1N1,HoN,0.0,0.04116654286746016,0.0,0.0,0.0,0.46295380450729284,1.0,0.6359042762471377,0.24009999999999954
135,mp-938,Ge1Te1,GeTe,1.0,0.5932174901789744,1.0,0.9594594594594594,1.0,0.5303269694447491,1.0,0.8651066279308113,0.8215000000000003
136,mp-947,Au4S2,Au2S,1.0,0.5808750142454427,0.0,0.5,0.0,0.391957973445829,0.0,0.007501407166969663,1.9091
143,mp-988,Si6N8,Si3N4,1.0,0.6915743813633628,0.0,0.0,0.0,0.29929187512857885,0.0,0.00801380614958121,4.2577
147,mp-1039,Mg2Te2,MgTe,1.0,0.9442223838954114,1.0,0.9594594594594594,1.0,0.7446704313825111,1.0,0.9690699116122446,2.3619999999999997
151,mp-1070,Cd2Se2,CdSe,1.0,0.8649882765908595,1.0,0.9594594594594594,1.0,0.7873964434188138,1.0,0.9784974149621686,0.5589
152,mp-1074,Rb32Si32,RbSi,0.0,0.04487940222421091,0.0,0.01858736059479554,0.0,0.2680745341614907,1.0,0.8545184780674022,1.3499999999999999
153,mp-1087,Sr1S1,SrS,0.0,0.1918878703920333,1.0,0.9594594594594594,0.0,0.3802899054433938,0.0,0.23377765891841276,2.5618999999999996
155,mp-1102,Lu1N1,LuN,0.0,0.2327103140219681,0.0,0.0,1.0,0.5491182205865696,0.0,0.04048094602493454,0.3793000000000002
157,mp-1106,Sr8Si4,Sr2Si,0.0,0.025347329167405966,0.0,0.0,0.0,0.2748840579710145,1.0,0.7914128664609551,0.3433999999999999
160,mp-1138,Li1F1,LiF,1.0,0.7329434627431078,1.0,0.8888888888888888,1.0,0.5371821465428276,0.0,0.006307736484883652,8.7195
165,mp-1156,Ga1Sb1,GaSb,1.0,0.8429405825529732,1.0,0.9594594594594594,1.0,0.6221760590205929,1.0,0.8487760291765619,0.36549999999999994
167,mp-1170,Sn1S2,SnS2,1.0,0.8358617035537993,0.0,0.01858736059479554,0.0,0.277326376623651,0.0,0.0010568969817495687,1.5615
169,mp-1186,Zr1S2,ZrS2,1.0,0.5893434405032675,0.0,0.01858736059479554,0.0,0.23131416693225057,0.0,0.0010533124448449005,1.0418
171,mp-1201,Sb2Te3,Sb2Te3,1.0,0.70549278519064,0.0,0.5,1.0,0.5285503872413129,0.0,0.029647601029739373,0.16110000000000024
174,mp-1222,Cr3Si6,CrSi2,1.0,0.8226416094735404,1.0,0.8888888888888888,1.0,0.6506684368598777,1.0,0.7389728967671203,0.3863000000000003
182,mp-1265,Mg1O1,MgO,1.0,0.640126217944575,1.0,0.8888888888888888,1.0,0.6184440513047325,1.0,0.7363198076991577,4.638
186,mp-1273,Cs32Ge32,CsGe,0.0,0.08894169826115356,0.0,0.01858736059479554,0.0,0.27321739130434786,1.0,0.5231067911039141,1.3382999999999998
190,mp-1315,Mg1S1,MgS,1.0,0.5579144902914097,1.0,0.9594594594594594,0.0,0.4633911125180266,0.0,0.4030828549900682,2.9642
196,mp-1346,B12O2,B6O,1.0,0.6100600231636117,0.0,0.0,1.0,0.6026260465688779,1.0,0.8797233862217444,2.2093
198,mp-1367,Mg2Si1,Mg2Si,1.0,0.6277862393149768,0.0,0.0,0.0,0.49960336638403485,0.0,0.010741047419670368,0.29349999999999987
199,mp-1370,Cs32Si32,CsSi,0.0,0.032222321987136024,0.0,0.01858736059479554,0.0,0.2452173913043478,1.0,0.5231067911039141,1.5631999999999997
204,mp-1397,Rb8Te4,Rb2Te,0.0,0.018265959570271183,0.0,0.0,0.0,0.2448840579710145,1.0,0.8025816443107829,1.6993000000000003
206,mp-1410,Dy1N1,DyN,0.0,0.023085714231708025,0.0,0.0,0.0,0.43581134692758,1.0,0.6436554970315962,0.21149999999999958
208,mp-1415,Ca1Se1,CaSe,0.0,0.1240409102199758,1.0,0.9594594594594594,0.0,0.3667285297820181,0.0,0.39416604087553125,2.1362
217,mp-1479,B1P1,BP,1.0,0.938128146106711,1.0,0.9594594594594594,1.0,0.7765690224342748,1.0,0.9891049148450441,1.4661999999999997
223,mp-1536,K8Sb8,KSb,0.0,0.02635199138251285,0.0,0.01858736059479554,0.0,0.32321739130434785,1.0,0.8752380905568501,0.8799999999999999
