,pretty_formula,material_id,MP BG
8,Ne,mp-111,11.8025
10,Ge,mp-137,0.8732000000000002
58,CdTe,mp-406,1.2285
119,HgSe,mp-820,0.12360000000000004
136,GeTe,mp-938,0.8215000000000003
148,MgTe,mp-1039,2.3619999999999997
152,CdSe,mp-1070,0.5589
166,GaSb,mp-1156,0.36549999999999994
218,BP,mp-1479,1.4661999999999997
241,MoSe2,mp-1634,1.4176000000000002
242,BN,mp-1639,4.6482
261,YbTe,mp-1779,1.5272999999999999
279,SnS,mp-1876,0.9549000000000003
281,SnTe,mp-1883,0.6623999999999999
377,GeTe,mp-2612,0.6197999999999997
378,AlSb,mp-2624,1.2605000000000004
391,CdSe,mp-2691,0.5095
392,SnSe,mp-2693,0.8203000000000005
684,CdSnAs2,mp-3829,0.3094000000000001
688,GaCuTe2,mp-3839,0.5549
742,ZnGeAs2,mp-4008,0.5678999999999998
863,ZnGeP2,mp-4524,1.2026
981,GaAgTe2,mp-4899,0.1926000000000001
1061,CdSnP2,mp-5213,0.6713999999999998
1068,GaCuS2,mp-5238,0.7026000000000003
2596,SnS,mp-10013,0.23709999999999987
2597,BAs,mp-10044,1.2521999999999993
2723,GeSe,mp-10759,0.4400999999999997
2724,MgSe,mp-10760,1.9791999999999996
3020,CdTe,mp-12779,0.6185999999999998
3064,MgSe,mp-13031,2.5473000000000003
3066,MgTe,mp-13033,2.3181000000000003
5045,TePb,mp-19717,1.0581999999999994
5148,InAs,mp-20305,0.3049999999999997
5156,InP,mp-20351,0.46640000000000015
5186,InAgSe2,mp-20554,0.3607
5438,InN,mp-22205,0.47770000000000046
5600,AgI,mp-22894,1.3955
5601,CuI,mp-22895,1.1762999999999995
5613,CuBr,mp-22913,0.48709999999999987
5614,CuCl,mp-22914,0.8018000000000005
5618,AgI,mp-22919,1.0059000000000005
5620,AgI,mp-22925,1.7236
5769,Br,mp-23154,1.3266
5771,He,mp-23156,17.775399999999998
5772,He,mp-23158,17.6526
5793,TlI,mp-23197,2.2503
5814,AgBr,mp-23231,0.7946
8223,BC2N,mp-30148,2.1098999999999997
14089,CuI,mp-569346,1.2119999999999997
14092,Hg,mp-569360,0.22810000000000002
14400,Ga2Os,mp-570875,0.6680999999999999
15369,BC2N,mp-629458,1.8462999999999994
18514,InP,mp-966800,0.5137999999999998
18694,GeC,mp-1002164,1.8485999999999994
18711,TlP,mp-1007776,0.12659999999999982
18720,BC2N,mp-1008523,1.6460000000000008
18725,BP,mp-1008559,1.0758999999999999
18742,OsC,mp-1009540,0.17010000000000058
18754,SiSn,mp-1009813,0.41139999999999954
18772,ZnCdSe2,mp-1017534,1.8588
18788,MgSe,mp-1018040,2.5791
18800,AlSb,mp-1018100,0.9120999999999997
18803,AlBi,mp-1018132,0.30189999999999984
19145,Ge,mp-1067619,0.791
19193,Ga2Ru,mp-1072429,0.1247000000000007
19281,ZnCd3Se4,mp-1078597,1.7290999999999999
19358,BC2N,mp-1079201,1.1736000000000004
22497,Ge,mp-1198022,0.6700999999999999
